Step,TP2 after fix,TP2 after fix__MIN,TP2 after fix__MAX,TP2,TP=2__MIN,TP=2__MAX,TP1,TP=1__MIN,TP=1__MAX
176,,,,5.625722408294678,5.625722408294678,5.625722408294678,5.480129718780518,5.480129718780518,5.480129718780518
177,5.458001613616943,5.458001613616943,5.458001613616943,5.559116840362549,5.559116840362549,5.559116840362549,5.444447040557861,5.444447040557861,5.444447040557861
178,,,,5.588165760040283,5.588165760040283,5.588165760040283,5.446163177490234,5.446163177490234,5.446163177490234
179,,,,5.417405128479004,5.417405128479004,5.417405128479004,,,
180,,,,5.548453330993652,5.548453330993652,5.548453330993652,5.417189598083496,5.417189598083496,5.417189598083496
181,,,,5.527103900909424,5.527103900909424,5.527103900909424,5.418057918548584,5.418057918548584,5.418057918548584
182,,,,5.519326210021973,5.519326210021973,5.519326210021973,5.4009480476379395,5.4009480476379395,5.4009480476379395
183,,,,5.573578834533691,5.573578834533691,5.573578834533691,,,
184,5.35540246963501,5.35540246963501,5.35540246963501,,,,5.349581241607666,5.349581241607666,5.349581241607666
185,5.419687747955322,5.419687747955322,5.419687747955322,5.541804790496826,5.541804790496826,5.541804790496826,,,
186,,,,5.545756816864014,5.545756816864014,5.545756816864014,,,
187,,,,5.486489772796631,5.486489772796631,5.486489772796631,,,
188,,,,5.487974166870117,5.487974166870117,5.487974166870117,5.3860297203063965,5.3860297203063965,5.3860297203063965
189,,,,5.4952263832092285,5.4952263832092285,5.4952263832092285,,,
190,,,,5.470180511474609,5.470180511474609,5.470180511474609,5.369609832763672,5.369609832763672,5.369609832763672
192,5.337920665740967,5.337920665740967,5.337920665740967,5.442286968231201,5.442286968231201,5.442286968231201,5.333940505981445,5.333940505981445,5.333940505981445
193,5.346848964691162,5.346848964691162,5.346848964691162,5.467434406280518,5.467434406280518,5.467434406280518,5.3697710037231445,5.3697710037231445,5.3697710037231445
194,5.421820163726807,5.421820163726807,5.421820163726807,5.503676414489746,5.503676414489746,5.503676414489746,,,
195,5.322293281555176,5.322293281555176,5.322293281555176,5.428774356842041,5.428774356842041,5.428774356842041,,,
196,5.337276935577393,5.337276935577393,5.337276935577393,5.428723335266113,5.428723335266113,5.428723335266113,,,
197,,,,5.464932918548584,5.464932918548584,5.464932918548584,,,
198,,,,5.394006252288818,5.394006252288818,5.394006252288818,5.28336763381958,5.28336763381958,5.28336763381958
199,,,,5.3949360847473145,5.3949360847473145,5.3949360847473145,5.338581085205078,5.338581085205078,5.338581085205078
200,5.314890384674072,5.314890384674072,5.314890384674072,5.407014846801758,5.407014846801758,5.407014846801758,5.329317569732666,5.329317569732666,5.329317569732666
201,5.287126064300537,5.287126064300537,5.287126064300537,5.374790191650391,5.374790191650391,5.374790191650391,,,
202,,,,4.897819995880127,4.897819995880127,4.897819995880127,,,
203,,,,5.369632720947266,5.369632720947266,5.369632720947266,,,
204,5.25963020324707,5.25963020324707,5.25963020324707,5.338532447814941,5.338532447814941,5.338532447814941,,,
206,,,,5.341737270355225,5.341737270355225,5.341737270355225,,,
207,,,,5.333410263061523,5.333410263061523,5.333410263061523,5.270776748657227,5.270776748657227,5.270776748657227
208,,,,5.339070796966553,5.339070796966553,5.339070796966553,5.2836432456970215,5.2836432456970215,5.2836432456970215
209,,,,5.3333024978637695,5.3333024978637695,5.3333024978637695,5.293968677520752,5.293968677520752,5.293968677520752
210,,,,5.323616027832031,5.323616027832031,5.323616027832031,,,
211,5.2336602210998535,5.2336602210998535,5.2336602210998535,5.310207366943359,5.310207366943359,5.310207366943359,5.2361884117126465,5.2361884117126465,5.2361884117126465
212,5.296128273010254,5.296128273010254,5.296128273010254,5.33756160736084,5.33756160736084,5.33756160736084,5.277618408203125,5.277618408203125,5.277618408203125
213,5.268465042114258,5.268465042114258,5.268465042114258,5.3514204025268555,5.3514204025268555,5.3514204025268555,5.2744059562683105,5.2744059562683105,5.2744059562683105
214,,,,5.2897796630859375,5.2897796630859375,5.2897796630859375,,,
215,5.1830153465271,5.1830153465271,5.1830153465271,5.269119739532471,5.269119739532471,5.269119739532471,,,
216,,,,5.304145812988281,5.304145812988281,5.304145812988281,5.240530014038086,5.240530014038086,5.240530014038086
217,5.225051403045654,5.225051403045654,5.225051403045654,5.323789596557617,5.323789596557617,5.323789596557617,5.221792221069336,5.221792221069336,5.221792221069336
218,,,,5.297604084014893,5.297604084014893,5.297604084014893,,,
219,,,,5.2759599685668945,5.2759599685668945,5.2759599685668945,5.17269229888916,5.17269229888916,5.17269229888916
220,5.198940277099609,5.198940277099609,5.198940277099609,5.300961971282959,5.300961971282959,5.300961971282959,,,
221,,,,5.202994346618652,5.202994346618652,5.202994346618652,,,
222,,,,5.230025291442871,5.230025291442871,5.230025291442871,,,
223,,,,5.2869954109191895,5.2869954109191895,5.2869954109191895,,,
224,5.147469997406006,5.147469997406006,5.147469997406006,5.225559711456299,5.225559711456299,5.225559711456299,,,
225,5.2008280754089355,5.2008280754089355,5.2008280754089355,5.269594192504883,5.269594192504883,5.269594192504883,5.180468559265137,5.180468559265137,5.180468559265137
226,,,,5.210736274719238,5.210736274719238,5.210736274719238,5.133693695068359,5.133693695068359,5.133693695068359
227,5.132619380950928,5.132619380950928,5.132619380950928,5.208061695098877,5.208061695098877,5.208061695098877,5.1489691734313965,5.1489691734313965,5.1489691734313965
228,,,,5.1908745765686035,5.1908745765686035,5.1908745765686035,,,
229,5.138261795043945,5.138261795043945,5.138261795043945,5.211895942687988,5.211895942687988,5.211895942687988,5.1529765129089355,5.1529765129089355,5.1529765129089355
230,,,,5.212814807891846,5.212814807891846,5.212814807891846,,,
231,5.151087284088135,5.151087284088135,5.151087284088135,5.188358783721924,5.188358783721924,5.188358783721924,5.14774227142334,5.14774227142334,5.14774227142334
232,,,,5.193836688995361,5.193836688995361,5.193836688995361,5.130730152130127,5.130730152130127,5.130730152130127
233,,,,5.133594512939453,5.133594512939453,5.133594512939453,,,
234,5.101038932800293,5.101038932800293,5.101038932800293,5.161814212799072,5.161814212799072,5.161814212799072,5.094377517700195,5.094377517700195,5.094377517700195
235,5.117668628692627,5.117668628692627,5.117668628692627,5.181747913360596,5.181747913360596,5.181747913360596,,,
236,,,,5.136532783508301,5.136532783508301,5.136532783508301,,,
237,,,,5.161876678466797,5.161876678466797,5.161876678466797,,,
238,5.096839427947998,5.096839427947998,5.096839427947998,5.136852741241455,5.136852741241455,5.136852741241455,5.0766425132751465,5.0766425132751465,5.0766425132751465
239,,,,5.09002161026001,5.09002161026001,5.09002161026001,5.038343906402588,5.038343906402588,5.038343906402588
240,5.091054916381836,5.091054916381836,5.091054916381836,5.148155689239502,5.148155689239502,5.148155689239502,5.095521926879883,5.095521926879883,5.095521926879883
241,5.04715633392334,5.04715633392334,5.04715633392334,5.110935211181641,5.110935211181641,5.110935211181641,,,
242,5.084194660186768,5.084194660186768,5.084194660186768,5.163556098937988,5.163556098937988,5.163556098937988,5.085409164428711,5.085409164428711,5.085409164428711
243,5.055898666381836,5.055898666381836,5.055898666381836,5.120359420776367,5.120359420776367,5.120359420776367,5.051637649536133,5.051637649536133,5.051637649536133
244,,,,5.109132289886475,5.109132289886475,5.109132289886475,5.052707672119141,5.052707672119141,5.052707672119141
245,,,,,,,5.057760715484619,5.057760715484619,5.057760715484619
246,,,,5.044205188751221,5.044205188751221,5.044205188751221,4.9785003662109375,4.9785003662109375,4.9785003662109375
247,5.040425777435303,5.040425777435303,5.040425777435303,5.1190185546875,5.1190185546875,5.1190185546875,5.04829216003418,5.04829216003418,5.04829216003418
248,5.047927379608154,5.047927379608154,5.047927379608154,5.131001949310303,5.131001949310303,5.131001949310303,5.044604301452637,5.044604301452637,5.044604301452637
249,,,,5.089916229248047,5.089916229248047,5.089916229248047,,,
250,5.031382083892822,5.031382083892822,5.031382083892822,5.104281425476074,5.104281425476074,5.104281425476074,5.03547477722168,5.03547477722168,5.03547477722168
251,5.017072677612305,5.017072677612305,5.017072677612305,5.107139587402344,5.107139587402344,5.107139587402344,5.020660400390625,5.020660400390625,5.020660400390625
252,5.0604248046875,5.0604248046875,5.0604248046875,5.137284278869629,5.137284278869629,5.137284278869629,,,
253,5.022469997406006,5.022469997406006,5.022469997406006,5.099130153656006,5.099130153656006,5.099130153656006,,,
254,,,,5.0779218673706055,5.0779218673706055,5.0779218673706055,5.012327194213867,5.012327194213867,5.012327194213867
255,4.970945835113525,4.970945835113525,4.970945835113525,5.046849727630615,5.046849727630615,5.046849727630615,,,
256,,,,5.068591594696045,5.068591594696045,5.068591594696045,5.016397476196289,5.016397476196289,5.016397476196289
257,,,,5.035390853881836,5.035390853881836,5.035390853881836,,,
258,,,,5.079738616943359,5.079738616943359,5.079738616943359,5.010937690734863,5.010937690734863,5.010937690734863
259,,,,5.039479732513428,5.039479732513428,5.039479732513428,4.99592924118042,4.99592924118042,4.99592924118042
260,4.98756742477417,4.98756742477417,4.98756742477417,5.06029748916626,5.06029748916626,5.06029748916626,,,
