Step,tokenizedbytes_dataloader,tokenizedbytes_dataloader__MIN,tokenizedbytes_dataloader__MAX,nanosets_dataloader,nanosets_dataloader__MIN,nanosets_dataloader__MAX
751,4.834632873535156,4.834632873535156,4.834632873535156,4.860175609588623,4.860175609588623,4.860175609588623
752,,,,4.871997833251953,4.871997833251953,4.871997833251953
756,,,,4.866272449493408,4.866272449493408,4.866272449493408
758,4.8277058601379395,4.8277058601379395,4.8277058601379395,4.879373550415039,4.879373550415039,4.879373550415039
759,4.810434341430664,4.810434341430664,4.810434341430664,,,
760,,,,4.855876922607422,4.855876922607422,4.855876922607422
761,,,,4.852327823638916,4.852327823638916,4.852327823638916
762,,,,4.798465251922607,4.798465251922607,4.798465251922607
764,,,,4.844829559326172,4.844829559326172,4.844829559326172
765,4.824321269989014,4.824321269989014,4.824321269989014,4.835255146026611,4.835255146026611,4.835255146026611
767,,,,4.841963291168213,4.841963291168213,4.841963291168213
770,4.790673732757568,4.790673732757568,4.790673732757568,4.794468402862549,4.794468402862549,4.794468402862549
773,,,,4.829300880432129,4.829300880432129,4.829300880432129
774,,,,4.775365829467773,4.775365829467773,4.775365829467773
776,4.754571914672852,4.754571914672852,4.754571914672852,,,
777,4.781617641448975,4.781617641448975,4.781617641448975,4.801688194274902,4.801688194274902,4.801688194274902
779,,,,4.741351127624512,4.741351127624512,4.741351127624512
782,4.757303237915039,4.757303237915039,4.757303237915039,,,
783,4.755988597869873,4.755988597869873,4.755988597869873,,,
786,4.795130729675293,4.795130729675293,4.795130729675293,4.7445268630981445,4.7445268630981445,4.7445268630981445
788,4.776692867279053,4.776692867279053,4.776692867279053,,,
793,4.744993686676025,4.744993686676025,4.744993686676025,,,
798,,,,4.732091903686523,4.732091903686523,4.732091903686523
800,4.715150833129883,4.715150833129883,4.715150833129883,4.689916610717773,4.689916610717773,4.689916610717773
801,,,,4.675787925720215,4.675787925720215,4.675787925720215
802,4.740869998931885,4.740869998931885,4.740869998931885,,,
806,4.732921600341797,4.732921600341797,4.732921600341797,,,
807,,,,4.698502063751221,4.698502063751221,4.698502063751221
808,4.744616985321045,4.744616985321045,4.744616985321045,,,
813,4.684502601623535,4.684502601623535,4.684502601623535,4.708113670349121,4.708113670349121,4.708113670349121
817,4.658842086791992,4.658842086791992,4.658842086791992,4.665035247802734,4.665035247802734,4.665035247802734
818,,,,4.6318511962890625,4.6318511962890625,4.6318511962890625
822,4.617485046386719,4.617485046386719,4.617485046386719,4.651230335235596,4.651230335235596,4.651230335235596
824,4.648310661315918,4.648310661315918,4.648310661315918,,,
825,4.589028358459473,4.589028358459473,4.589028358459473,4.574684143066406,4.574684143066406,4.574684143066406
826,,,,4.63132381439209,4.63132381439209,4.63132381439209
827,4.554262161254883,4.554262161254883,4.554262161254883,,,
828,,,,4.612520694732666,4.612520694732666,4.612520694732666
829,,,,4.640802383422852,4.640802383422852,4.640802383422852
830,,,,4.62569522857666,4.62569522857666,4.62569522857666
833,4.584596633911133,4.584596633911133,4.584596633911133,,,
835,,,,4.593602180480957,4.593602180480957,4.593602180480957
837,4.598676681518555,4.598676681518555,4.598676681518555,,,
838,,,,4.561251640319824,4.561251640319824,4.561251640319824
839,4.607242584228516,4.607242584228516,4.607242584228516,4.626947402954102,4.626947402954102,4.626947402954102
840,4.594460487365723,4.594460487365723,4.594460487365723,4.587453365325928,4.587453365325928,4.587453365325928
847,4.470188617706299,4.470188617706299,4.470188617706299,4.569085121154785,4.569085121154785,4.569085121154785
