run_name,tokens,learning_rate
Main pretraining,2213213213213.213,0.0002
Main pretraining,2224224224224.224,0.0002
Main pretraining,2235235235235.2354,0.0002
Main pretraining,2246246246246.246,0.0002
Main pretraining,2257257257257.2573,0.0002
Main pretraining,2268268268268.268,0.0002
Main pretraining,2279279279279.2793,0.0002
Main pretraining,2290290290290.29,0.0002
Main pretraining,2301301301301.3013,0.0002
Main pretraining,2312312312312.3125,0.0002
Main pretraining,2323323323323.323,0.0002
Main pretraining,2334334334334.3345,0.0002
Main pretraining,2345345345345.345,0.0002
Main pretraining,2356356356356.3564,0.0002
Main pretraining,2367367367367.3677,0.0002
Main pretraining,2378378378378.3784,0.0002
Main pretraining,2389389389389.389,0.0002
Main pretraining,2400400400400.4004,0.0002
Main pretraining,2411411411411.4116,0.0002
Main pretraining,2422422422422.4224,0.0002
Main pretraining,2433433433433.4336,0.0002
Main pretraining,2444444444444.4443,0.0002
Main pretraining,2455455455455.4556,0.0002
Main pretraining,2466466466466.4663,0.0002
Main pretraining,2477477477477.4775,0.0002
Main pretraining,2488488488488.489,0.0002
Main pretraining,2499499499499.4995,0.0002
Main pretraining,2510510510510.5103,0.0002
Main pretraining,2521521521521.5215,0.0002
Main pretraining,2532532532532.5327,0.0002
Main pretraining,2543543543543.5435,0.0002
Main pretraining,2554554554554.5547,0.0002
Main pretraining,2565565565565.5654,0.0002
Main pretraining,2576576576576.5767,0.0002
Main pretraining,2587587587587.5874,0.0002
Main pretraining,2598598598598.5986,0.0002
Main pretraining,2609609609609.61,0.0002
Main pretraining,2620620620620.6206,0.0002
Main pretraining,2631631631631.6313,0.0002
Main pretraining,2642642642642.6426,0.0002
Main pretraining,2653653653653.654,0.0002
Main pretraining,2664664664664.6646,0.0002
Main pretraining,2675675675675.676,0.0002
Main pretraining,2686686686686.6865,0.0002
Main pretraining,2697697697697.6978,0.0002
Main pretraining,2708708708708.7085,0.0002
Main pretraining,2719719719719.7197,0.0002
Main pretraining,2730730730730.731,0.0002
Main pretraining,2741741741741.7417,0.0002
Main pretraining,2752752752752.753,0.0002
Main pretraining,2763763763763.7637,0.0002
Main pretraining,2774774774774.7744,0.0002
Main pretraining,2785785785785.786,0.0002
Main pretraining,2796796796796.797,0.0002
Main pretraining,2807807807807.808,0.0002
Main pretraining,2818818818818.819,0.0002
Main pretraining,2829829829829.8296,0.0002
Main pretraining,2840840840840.841,0.0002
Main pretraining,2851851851851.8516,0.0002
Main pretraining,2862862862862.8633,0.0002
Main pretraining,2873873873873.874,0.0002
Main pretraining,2884884884884.885,0.0002
Main pretraining,2895895895895.896,0.0002
Main pretraining,2906906906906.9067,0.0002
Main pretraining,2917917917917.918,0.0002
Main pretraining,2928928928928.9287,0.0002
Main pretraining,2939939939939.9404,0.0002
Main pretraining,2950950950950.951,0.0002
Main pretraining,2961961961961.962,0.0002
Main pretraining,2972972972972.973,0.0002
Main pretraining,2983983983983.984,0.0002
Main pretraining,2994994994994.995,0.0002
Main pretraining,3006006006006.006,0.0002
Main pretraining,3017017017017.0166,0.0002
Main pretraining,3028028028028.0283,0.0002
Main pretraining,3039039039039.039,0.0002
