run_name,tokens,metric,value
SmolLM3 (with TP bug),122683392000.0,winogrande,0.5114443567482242
SmolLM3 (with TP bug),127401984000.0,winogrande,0.5130228887134964
SmolLM3 (with TP bug),132120576000.0,winogrande,0.5209155485398579
SmolLM3 (with TP bug),136839168000.0,winogrande,0.5122336227308603
SmolLM3 (with TP bug),141557760000.0,winogrande,0.5114443567482242
SmolLM3 (with TP bug),146276352000.0,winogrande,0.510655090765588
SmolLM3 (with TP bug),150994944000.0,winogrande,0.510655090765588
SmolLM3 (with TP bug),155713536000.0,winogrande,0.5146014206787688
SmolLM3 (with TP bug),160432128000.0,winogrande,0.5122336227308603
SmolLM3 (with TP bug),165150720000.0,winogrande,0.5067087608524072
SmolLM3 (with TP bug),169869312000.0,winogrande,0.5153906866614049
SmolLM3 (with TP bug),174587904000.0,winogrande,0.5074980268350434
SmolLM3 (with TP bug),179306496000.0,winogrande,0.516179952644041
SmolLM3 (with TP bug),184025088000.0,winogrande,0.5138121546961326
SmolLM3 (with TP bug),188743680000.0,winogrande,0.5130228887134964
SmolLM3 (with TP bug),193462272000.0,winogrande,0.516179952644041
SmolLM3 (with TP bug),198180864000.0,winogrande,0.5232833464877664
SmolLM3 (with TP bug),4718592000.0,openbookqa,0.25
SmolLM3 (with TP bug),9437184000.0,openbookqa,0.296
SmolLM3 (with TP bug),14155776000.0,openbookqa,0.298
SmolLM3 (with TP bug),18874368000.0,openbookqa,0.3
SmolLM3 (with TP bug),23592960000.0,openbookqa,0.282
SmolLM3 (with TP bug),28311552000.0,openbookqa,0.282
SmolLM3 (with TP bug),33030144000.0,openbookqa,0.282
SmolLM3 (with TP bug),37748736000.0,openbookqa,0.282
SmolLM3 (with TP bug),42467328000.0,openbookqa,0.286
SmolLM3 (with TP bug),47185920000.0,openbookqa,0.294
SmolLM3 (with TP bug),51904512000.0,openbookqa,0.296
SmolLM3 (with TP bug),56623104000.0,openbookqa,0.314
SmolLM3 (with TP bug),61341696000.0,openbookqa,0.296
SmolLM3 (with TP bug),66060288000.0,openbookqa,0.324
SmolLM3 (with TP bug),70778880000.0,openbookqa,0.336
SmolLM3 (with TP bug),75497472000.0,openbookqa,0.298
SmolLM3 (with TP bug),80216064000.0,openbookqa,0.31
