run_name,tokens,learning_rate
From scratch,12812812812.812813,0.0002
From scratch,12912912912.912912,0.0002
From scratch,13013013013.013014,0.0002
From scratch,13113113113.113111,0.0002
From scratch,13213213213.213213,0.0002
From scratch,13313313313.313313,0.0002
From scratch,13413413413.413414,0.0002
From scratch,13513513513.513514,0.0002
From scratch,13613613613.613615,0.0002
From scratch,13713713713.713713,0.0002
From scratch,13813813813.813814,0.0002
From scratch,13913913913.913914,0.0002
From scratch,14014014014.014015,0.0002
From scratch,14114114114.114115,0.0002
From scratch,14214214214.214212,0.0002
From scratch,14314314314.314314,0.0002
From scratch,14414414414.414413,0.0002
From scratch,14514514514.514515,0.0002
From scratch,14614614614.614616,0.0002
From scratch,14714714714.714714,0.0002
From scratch,14814814814.814814,0.0002
From scratch,14914914914.914915,0.0002
From scratch,15015015015.015015,0.0002
From scratch,15115115115.115116,0.0002
From scratch,15215215215.215216,0.0002
From scratch,15315315315.315315,0.0002
From scratch,15415415415.415415,0.0002
From scratch,15515515515.515516,0.0002
From scratch,15615615615.615616,0.0002
From scratch,15715715715.715717,0.0002
From scratch,15815815815.815815,0.0002
From scratch,15915915915.915915,0.0002
From scratch,16016016016.016016,0.0002
From scratch,16116116116.116116,0.0002
From scratch,16216216216.216217,0.0002
From scratch,16316316316.316315,0.0002
From scratch,16416416416.416416,0.0002
From scratch,16516516516.516516,0.0002
From scratch,16616616616.616617,0.0002
From scratch,16716716716.716717,0.0002
From scratch,16816816816.816818,0.0002
From scratch,16916916916.916916,0.0002
From scratch,17017017017.017017,0.0002
From scratch,17117117117.117117,0.0002
From scratch,17217217217.217216,0.0002
From scratch,17317317317.317318,0.0002
From scratch,17417417417.417416,0.0002
From scratch,17517517517.517517,0.0002
From scratch,17617617617.61762,0.0002
From scratch,17717717717.717716,0.0002
From scratch,17817817817.817818,0.0002
From scratch,17917917917.917915,0.0002
From scratch,18018018018.018017,0.0002
From scratch,18118118118.11812,0.0002
From scratch,18218218218.21822,0.0002
From scratch,18318318318.318317,0.0002
From scratch,18418418418.41842,0.0002
From scratch,18518518518.518517,0.0002
From scratch,18618618618.618618,0.0002
From scratch,18718718718.71872,0.0002
From scratch,18818818818.81882,0.0002
From scratch,18918918918.91892,0.0002
From scratch,19019019019.019016,0.0002
From scratch,19119119119.119118,0.0002
From scratch,19219219219.21922,0.0002
From scratch,19319319319.31932,0.0002
From scratch,19419419419.419422,0.0002
From scratch,19519519519.51952,0.0002
From scratch,19619619619.619617,0.0002
From scratch,19719719719.71972,0.0002
From scratch,19819819819.81982,0.0002
