Step,throughput_drops,throughput_no_drops
174,13638.511478241724,13747.7520499084
175,13687.829995538275,13944.261368420255
176,13683.316568089753,13931.762376494553
177,13738.898052015213,13906.95907804308
178,13850.883263093,13840.156403014244
179,13769.834042580478,13894.991335649363
180,13725.287517403072,13884.06142652948
181,13852.94573603406,13920.398576943064
182,13725.638418018912,13904.970525770526
183,13720.084597716816,13707.378889837471
184,13706.737296172563,13450.368844595643
185,13929.872141503063,13920.406096503668
186,13615.028197640784,13969.36461728691
187,13865.475228927358,13971.750378167251
188,13937.157261222284,13815.300186725097
189,13809.821594181076,13838.00113518654
190,13387.954269683352,13936.772850505477
191,13868.736162641631,13767.737396974922
192,13708.38514631698,13809.525577826136
193,13660.641931015618,13902.51751099343
194,13832.63817633232,13885.026458800976
195,13945.838526849328,13971.204989552689
196,13821.73197006502,13946.789522022513
197,13912.56009575283,13927.877031637114
198,13849.1563214598,13796.277051910694
199,13962.60560133938,13909.42116828153
200,13777.519843629036,13868.773481971264
201,13490.24987043608,13791.426118173673
202,13903.695150125444,13614.77643806841
203,13805.700708130156,13747.02600325514
204,13811.309268493467,13906.59884526322
205,13813.515465144328,13883.141404400618
206,13696.239737574437,13913.979836724116
207,13314.73481465407,13439.846593700488
208,13744.474447723398,13770.805336935751
209,13951.50867793696,13954.379486202008
210,13767.612354081966,13940.195605640383
211,13881.264339099733,13891.703067841838
212,13616.74760476574,13737.843369267726
213,13511.816388904184,13303.201091521249
214,13815.129840693238,13984.290901513376
215,13844.283012177904,14012.67717906402
216,13817.418753548884,13729.177668739112
217,13727.744198558925,13893.478089705
218,13878.86452897134,13846.291441669431
219,13168.922626752485,13920.300823394497
220,13266.04190495017,13755.523349604866
221,13805.153414618466,13887.892422714664
222,13943.152288842415,13893.69531762189
223,13922.89551751748,13827.806162408471
224,13769.539738008069,13852.77446038544
225,13984.0101236973,13884.607513585685
226,13906.38121366883,13653.266782731798
227,13913.634264623464,13844.513580029365
228,13765.347264376804,13815.507570173071
229,13682.284930311138,13928.291064044142
230,13872.648321111456,13804.021985898042
231,13078.987523352793,13833.002012966726
232,13904.572883556277,13917.361338928402
233,13780.525822238951,13839.368537618182
234,13313.716733407971,13942.405457110952
235,13891.950195604675,13987.091708147913
236,13921.218256868691,13612.453496240303
237,13776.09835471398,13987.068932838762
238,13878.617866554216,13912.740364260668
239,13866.087003498023,13798.219858664888
240,13816.61125110716,14027.986386707224
241,13758.299369419825,13645.740625167133
242,13873.103887567246,13160.428621622284
243,13928.31364833794,13981.688447413098
244,13853.474483232438,13961.538986147252
245,13878.341316088226,13891.815397553146
246,13879.200900943111,13896.894597965764
247,13285.369421146324,13742.180323095678
248,13769.473521213004,13949.58287668897
249,13877.011038150493,13946.66875354149
250,13806.699260797515,13921.827439336674
251,13929.450485750718,9191.581836554096
252,13835.059163716112,13998.693975463802
253,13874.194381258443,13224.49366071346
254,13902.390007898042,8750.67872641849
255,13799.232107850092,9233.030558805036
256,13842.18594113078,13959.23988787021
257,13712.615956029898,13976.660792483242
258,13764.641414740296,13804.347345093634
259,13210.914223756758,13970.652069564292
260,13703.151310636373,13888.37144589449
261,13650.995770648811,13911.178192375191
262,13719.281127619566,13834.516967141564
263,13791.56635602849,13830.75989575059
264,13606.523882086454,13797.000923554822
265,13838.81113987133,13811.38329051075
266,13680.294744911256,13957.410225871288
267,13712.82756506858,13732.279669570167
268,13677.150851046892,13884.001583984304
