"Step","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX"
"153","13732.748017875623","13732.748017875623","13732.748017875623"
"154","13870.72929588154","13870.72929588154","13870.72929588154"
"155","13845.80043842682","13845.80043842682","13845.80043842682"
"156","14002.687414927728","14002.687414927728","14002.687414927728"
"157","13904.99303450051","13904.99303450051","13904.99303450051"
"158","13946.910292595092","13946.910292595092","13946.910292595092"
"159","13881.189566135457","13881.189566135457","13881.189566135457"
"160","13870.09471565282","13870.09471565282","13870.09471565282"
"161","13970.386986461037","13970.386986461037","13970.386986461037"
"162","13935.672497846363","13935.672497846363","13935.672497846363"
"163","13814.989123226675","13814.989123226675","13814.989123226675"
"164","13355.959916266771","13355.959916266771","13355.959916266771"
"165","13922.752596151198","13922.752596151198","13922.752596151198"
"166","13864.236923697696","13864.236923697696","13864.236923697696"
"167","13896.257621430057","13896.257621430057","13896.257621430057"
"168","13817.544702805246","13817.544702805246","13817.544702805246"
"169","13732.074777231757","13732.074777231757","13732.074777231757"
"170","13784.852902142848","13784.852902142848","13784.852902142848"
"171","13911.493602661612","13911.493602661612","13911.493602661612"
"172","13828.941493526321","13828.941493526321","13828.941493526321"
"173","13609.405388562836","13609.405388562836","13609.405388562836"
"174","13638.511478241724","13638.511478241724","13638.511478241724"
"175","13687.829995538275","13687.829995538275","13687.829995538275"
"176","13683.316568089753","13683.316568089753","13683.316568089753"
"177","13738.898052015213","13738.898052015213","13738.898052015213"
"178","13850.883263093","13850.883263093","13850.883263093"
"179","13769.834042580478","13769.834042580478","13769.834042580478"
"180","13725.287517403072","13725.287517403072","13725.287517403072"
"181","13852.94573603406","13852.94573603406","13852.94573603406"
"182","13725.638418018912","13725.638418018912","13725.638418018912"
"183","13720.084597716816","13720.084597716816","13720.084597716816"
"184","13706.737296172563","13706.737296172563","13706.737296172563"
"185","13929.872141503065","13929.872141503065","13929.872141503065"
"186","13615.028197640784","13615.028197640784","13615.028197640784"
"187","13865.475228927358","13865.475228927358","13865.475228927358"
"188","13937.157261222283","13937.157261222283","13937.157261222283"
"189","13809.821594181076","13809.821594181076","13809.821594181076"
"190","13387.954269683352","13387.954269683352","13387.954269683352"
"191","13868.736162641633","13868.736162641633","13868.736162641633"
"192","13708.38514631698","13708.38514631698","13708.38514631698"
"193","13660.641931015618","13660.641931015618","13660.641931015618"
"194","13832.63817633232","13832.63817633232","13832.63817633232"
"195","13945.838526849328","13945.838526849328","13945.838526849328"
"196","13821.73197006502","13821.73197006502","13821.73197006502"
"197","13912.56009575283","13912.56009575283","13912.56009575283"
"198","13849.156321459799","13849.156321459799","13849.156321459799"
"199","13962.60560133938","13962.60560133938","13962.60560133938"
"200","13777.519843629037","13777.519843629037","13777.519843629037"
"201","13490.249870436079","13490.249870436079","13490.249870436079"
"202","13903.695150125443","13903.695150125443","13903.695150125443"
"203","13805.700708130156","13805.700708130156","13805.700708130156"
"204","13811.309268493467","13811.309268493467","13811.309268493467"
"205","13813.515465144328","13813.515465144328","13813.515465144328"
"206","13696.239737574435","13696.239737574435","13696.239737574435"
"207","13314.73481465407","13314.73481465407","13314.73481465407"
"208","13744.474447723398","13744.474447723398","13744.474447723398"
"209","13951.50867793696","13951.50867793696","13951.50867793696"
"210","13767.612354081966","13767.612354081966","13767.612354081966"
"211","13881.264339099731","13881.264339099731","13881.264339099731"
"212","13616.74760476574","13616.74760476574","13616.74760476574"
"213","13511.816388904183","13511.816388904183","13511.816388904183"
"214","13815.129840693238","13815.129840693238","13815.129840693238"
"215","13844.283012177904","13844.283012177904","13844.283012177904"
"216","13817.418753548884","13817.418753548884","13817.418753548884"
"217","13727.744198558923","13727.744198558923","13727.744198558923"
"218","13878.86452897134","13878.86452897134","13878.86452897134"
"219","13168.922626752485","13168.922626752485","13168.922626752485"
"220","13266.04190495017","13266.04190495017","13266.04190495017"
"221","13805.153414618466","13805.153414618466","13805.153414618466"
"222","13943.152288842417","13943.152288842417","13943.152288842417"
"223","13922.89551751748","13922.89551751748","13922.89551751748"
"224","13769.539738008067","13769.539738008067","13769.539738008067"
"225","13984.010123697299","13984.010123697299","13984.010123697299"
"226","13906.38121366883","13906.38121366883","13906.38121366883"
"227","13913.634264623464","13913.634264623464","13913.634264623464"
"228","13765.347264376804","13765.347264376804","13765.347264376804"
"229","13682.284930311138","13682.284930311138","13682.284930311138"
"230","13872.648321111456","13872.648321111456","13872.648321111456"
"231","13078.987523352793","13078.987523352793","13078.987523352793"
"232","13904.572883556275","13904.572883556275","13904.572883556275"
"233","13780.525822238953","13780.525822238953","13780.525822238953"
"234","13313.716733407971","13313.716733407971","13313.716733407971"
"235","13891.950195604675","13891.950195604675","13891.950195604675"
"236","13921.218256868691","13921.218256868691","13921.218256868691"
"237","13776.098354713979","13776.098354713979","13776.098354713979"
"238","13878.617866554216","13878.617866554216","13878.617866554216"
"239","13866.087003498025","13866.087003498025","13866.087003498025"
"240","13816.61125110716","13816.61125110716","13816.61125110716"
"241","13758.299369419825","13758.299369419825","13758.299369419825"
"242","13873.103887567246","13873.103887567246","13873.103887567246"
"243","13928.31364833794","13928.31364833794","13928.31364833794"
"244","13853.474483232438","13853.474483232438","13853.474483232438"
"245","13878.341316088226","13878.341316088226","13878.341316088226"
"246","13879.200900943113","13879.200900943113","13879.200900943113"
"247","13285.369421146324","13285.369421146324","13285.369421146324"
"248","13769.473521213005","13769.473521213005","13769.473521213005"
"249","13877.011038150493","13877.011038150493","13877.011038150493"
"250","13806.699260797517","13806.699260797517","13806.699260797517"
"251","13929.450485750718","13929.450485750718","13929.450485750718"
"252","13835.059163716112","13835.059163716112","13835.059163716112"
"253","13874.194381258443","13874.194381258443","13874.194381258443"
"254","13902.390007898042","13902.390007898042","13902.390007898042"
"255","13799.232107850092","13799.232107850092","13799.232107850092"
"256","13842.185941130781","13842.185941130781","13842.185941130781"
"257","13712.615956029898","13712.615956029898","13712.615956029898"
"258","13764.641414740297","13764.641414740297","13764.641414740297"
"259","13210.914223756758","13210.914223756758","13210.914223756758"
"260","13703.151310636373","13703.151310636373","13703.151310636373"
"261","13650.995770648811","13650.995770648811","13650.995770648811"
"262","13719.281127619566","13719.281127619566","13719.281127619566"
"263","13791.56635602849","13791.56635602849","13791.56635602849"
"264","13606.523882086454","13606.523882086454","13606.523882086454"
"265","13838.81113987133","13838.81113987133","13838.81113987133"
"266","13680.294744911256","13680.294744911256","13680.294744911256"
"267","13712.827565068581","13712.827565068581","13712.827565068581"
"268","13677.150851046892","13677.150851046892","13677.150851046892"
"269","13222.932945827124","13222.932945827124","13222.932945827124"
"270","13795.811745962405","13795.811745962405","13795.811745962405"
"271","13747.01866984179","13747.01866984179","13747.01866984179"
"272","13960.52547449625","13960.52547449625","13960.52547449625"
"273","13673.870544549989","13673.870544549989","13673.870544549989"
"274","10138.443237858659","10138.443237858659","10138.443237858659"
"275","13815.026153861","13815.026153861","13815.026153861"
"276","13812.27901980847","13812.27901980847","13812.27901980847"
"277","13845.621900426815","13845.621900426815","13845.621900426815"
"278","13905.23313215468","13905.23313215468","13905.23313215468"
"279","13646.311483535339","13646.311483535339","13646.311483535339"
"280","13747.246009294","13747.246009294","13747.246009294"
"281","13904.490356890032","13904.490356890032","13904.490356890032"
"282","13920.759525015963","13920.759525015963","13920.759525015963"
"283","13922.353936268953","13922.353936268953","13922.353936268953"
"284","13653.91061468498","13653.91061468498","13653.91061468498"
"285","13695.875780596458","13695.875780596458","13695.875780596458"
"286","13774.758151998156","13774.758151998156","13774.758151998156"
"287","13410.65313344352","13410.65313344352","13410.65313344352"
"288","13882.453337470628","13882.453337470628","13882.453337470628"
"289","13874.829336684423","13874.829336684423","13874.829336684423"
"290","13810.369257894667","13810.369257894667","13810.369257894667"
"291","602.632252618629","602.632252618629","602.632252618629"
"292","13776.812745119003","13776.812745119003","13776.812745119003"
"293","13781.96296650856","13781.96296650856","13781.96296650856"
"294","400.7973170731252","400.7973170731252","400.7973170731252"
"295","753.8805698397558","753.8805698397558","753.8805698397558"
"296","13790.629030859776","13790.629030859776","13790.629030859776"
"297","13643.3276504232","13643.3276504232","13643.3276504232"
"298","13721.297285324225","13721.297285324225","13721.297285324225"
