"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MAX"
"134","7502","7502","7502","6146.125","6146.125","6146.125"
"135","7558","7558","7558","5308.6875","5308.6875","5308.6875"
"136","7614","7614","7614","4658.4375","4658.4375","4658.4375"
"137","7670","7670","7670","5785.109375","5785.109375","5785.109375"
"138","7726","7726","7726","6759.109375","6759.109375","6759.109375"
"139","7782","7782","7782","6179.03125","6179.03125","6179.03125"
"140","7838","7838","7838","4619.25","4619.25","4619.25"
"141","7894","7894","7894","5581.3203125","5581.3203125","5581.3203125"
"142","7950","7950","7950","3538.703125","3538.703125","3538.703125"
"143","8006","8006","8006","4483.9375","4483.9375","4483.9375"
"144","8062","8062","8062","6046.48828125","6046.48828125","6046.48828125"
"145","8118","8118","8118","5153.6875","5153.6875","5153.6875"
"146","8174","8174","8174","7744.0234375","7744.0234375","7744.0234375"
"147","8230","8230","8230","6048.16552734375","6048.16552734375","6048.16552734375"
"148","8286","8286","8286","4615.34375","4615.34375","4615.34375"
"149","8342","8342","8342","4686.2890625","4686.2890625","4686.2890625"
"150","8398","8398","8398","4352.22119140625","4352.22119140625","4352.22119140625"
"151","8454","8454","8454","5110.80322265625","5110.80322265625","5110.80322265625"
"152","8510","8510","8510","6952.02392578125","6952.02392578125","6952.02392578125"
"153","8566","8566","8566","7222.859375","7222.859375","7222.859375"
"154","8622","8622","8622","4558.578125","4558.578125","4558.578125"
"155","8678","8678","8678","5403.1328125","5403.1328125","5403.1328125"
"156","8734","8734","8734","6236.17333984375","6236.17333984375","6236.17333984375"
"157","8790","8790","8790","6587.0390625","6587.0390625","6587.0390625"
"158","8846","8846","8846","8465","8465","8465"
"159","8902","8902","8902","8066.7578125","8066.7578125","8066.7578125"
"160","8958","8958","8958","5471.265625","5471.265625","5471.265625"
"161","9014","9014","9014","4592.859375","4592.859375","4592.859375"
"162","9070","9070","9070","5898.3984375","5898.3984375","5898.3984375"
"163","9126","9126","9126","6141.56689453125","6141.56689453125","6141.56689453125"
"164","9182","9182","9182","5767.8203125","5767.8203125","5767.8203125"
"165","9238","9238","9238","5886.9296875","5886.9296875","5886.9296875"
"166","9294","9294","9294","5026.4296875","5026.4296875","5026.4296875"
"167","9350","9350","9350","5339.84375","5339.84375","5339.84375"
"168","9406","9406","9406","7329.1875","7329.1875","7329.1875"
"169","9462","9462","9462","5971.0078125","5971.0078125","5971.0078125"
"170","9518","9518","9518","8197.3359375","8197.3359375","8197.3359375"
"171","9574","9574","9574","4005.48828125","4005.48828125","4005.48828125"
"172","9630","9630","9630","4106.1953125","4106.1953125","4106.1953125"
"173","9686","9686","9686","4190.1328125","4190.1328125","4190.1328125"
"174","9742","9742","9742","5756.59375","5756.59375","5756.59375"
"175","9798","9798","9798","6394.8994140625","6394.8994140625","6394.8994140625"
"176","9854","9854","9854","3068.9296875","3068.9296875","3068.9296875"
"177","9910","9910","9910","5366.5390625","5366.5390625","5366.5390625"
"178","9966","9966","9966","5933.2626953125","5933.2626953125","5933.2626953125"
"179","10022","10022","10022","4864.1103515625","4864.1103515625","4864.1103515625"
"180","10078","10078","10078","6885.30712890625","6885.30712890625","6885.30712890625"
"181","10134","10134","10134","8163.51171875","8163.51171875","8163.51171875"
"182","10190","10190","10190","3080.359375","3080.359375","3080.359375"
"183","10246","10246","10246","4419.0546875","4419.0546875","4419.0546875"
"184","10302","10302","10302","7438.64306640625","7438.64306640625","7438.64306640625"
"185","10358","10358","10358","5887.4609375","5887.4609375","5887.4609375"
"186","10414","10414","10414","8133.6796875","8133.6796875","8133.6796875"
"187","10470","10470","10470","6184.53125","6184.53125","6184.53125"
"188","10526","10526","10526","6074.5546875","6074.5546875","6074.5546875"
"189","10582","10582","10582","4523.7734375","4523.7734375","4523.7734375"
"190","10638","10638","10638","7091.828125","7091.828125","7091.828125"
"191","10694","10694","10694","5735.03125","5735.03125","5735.03125"
"192","10750","10750","10750","6954.8828125","6954.8828125","6954.8828125"
"193","10806","10806","10806","7838.5986328125","7838.5986328125","7838.5986328125"
"194","10862","10862","10862","4582.546875","4582.546875","4582.546875"
"195","10918","10918","10918","6575.1044921875","6575.1044921875","6575.1044921875"
"196","10974","10974","10974","6275.51611328125","6275.51611328125","6275.51611328125"
"197","11030","11030","11030","5126.1875","5126.1875","5126.1875"
"198","11086","11086","11086","7029.8818359375","7029.8818359375","7029.8818359375"
"199","11142","11142","11142","5752.65625","5752.65625","5752.65625"
"200","11198","11198","11198","6404.921875","6404.921875","6404.921875"
"201","11254","11254","11254","5734.828125","5734.828125","5734.828125"
"202","11310","11310","11310","5956.2890625","5956.2890625","5956.2890625"
"203","11366","11366","11366","6494.0751953125","6494.0751953125","6494.0751953125"
"204","11422","11422","11422","4139.265625","4139.265625","4139.265625"
"205","11478","11478","11478","7194.1416015625","7194.1416015625","7194.1416015625"
"206","11534","11534","11534","6915.81640625","6915.81640625","6915.81640625"
"207","11590","11590","11590","6509.8896484375","6509.8896484375","6509.8896484375"
"208","11646","11646","11646","5365.0390625","5365.0390625","5365.0390625"
"209","11702","11702","11702","7696.8662109375","7696.8662109375","7696.8662109375"
"210","11758","11758","11758","5629.046875","5629.046875","5629.046875"
"211","11814","11814","11814","6202.3603515625","6202.3603515625","6202.3603515625"
"212","11870","11870","11870","6067.5","6067.5","6067.5"
"213","11926","11926","11926","6443.5859375","6443.5859375","6443.5859375"
"214","11982","11982","11982","5658.6484375","5658.6484375","5658.6484375"
"215","12038","12038","12038","6915.0625","6915.0625","6915.0625"
"216","12094","12094","12094","6010.5234375","6010.5234375","6010.5234375"
"217","12150","12150","12150","4797.5625","4797.5625","4797.5625"
"218","12206","12206","12206","4323.2109375","4323.2109375","4323.2109375"
"219","12262","12262","12262","6226.8984375","6226.8984375","6226.8984375"
"220","12318","12318","12318","6351.78759765625","6351.78759765625","6351.78759765625"
"221","12374","12374","12374","7541.8662109375","7541.8662109375","7541.8662109375"
"222","12430","12430","12430","4976.51220703125","4976.51220703125","4976.51220703125"
"223","12486","12486","12486","6316.765625","6316.765625","6316.765625"
"224","12542","12542","12542","5788.796875","5788.796875","5788.796875"
"225","12598","12598","12598","5050.03125","5050.03125","5050.03125"
"226","12654","12654","12654","6426.1953125","6426.1953125","6426.1953125"
"227","12710","12710","12710","6385.09375","6385.09375","6385.09375"
"228","12766","12766","12766","6382.0390625","6382.0390625","6382.0390625"
"229","12822","12822","12822","4336.6875","4336.6875","4336.6875"
"230","12878","12878","12878","5392.6142578125","5392.6142578125","5392.6142578125"
"231","12934","12934","12934","7167.2939453125","7167.2939453125","7167.2939453125"
"232","12990","12990","12990","5027.93701171875","5027.93701171875","5027.93701171875"
"233","13046","13046","13046","7456.8046875","7456.8046875","7456.8046875"
"234","13102","13102","13102","7003.4375","7003.4375","7003.4375"
"235","13158","13158","13158","5434.328125","5434.328125","5434.328125"
"236","13214","13214","13214","7788.0703125","7788.0703125","7788.0703125"
"237","13270","13270","13270","7020.82666015625","7020.82666015625","7020.82666015625"
"238","13326","13326","13326","7711.6640625","7711.6640625","7711.6640625"
"239","13382","13382","13382","4565.5","4565.5","4565.5"
"240","13438","13438","13438","6501.765625","6501.765625","6501.765625"
"241","13494","13494","13494","5137.6640625","5137.6640625","5137.6640625"
"242","13550","13550","13550","5239.984375","5239.984375","5239.984375"
"243","13606","13606","13606","5390.234375","5390.234375","5390.234375"
"244","13662","13662","13662","6693.60009765625","6693.60009765625","6693.60009765625"
"245","13718","13718","13718","6724.3046875","6724.3046875","6724.3046875"
"246","13774","13774","13774","8033.4208984375","8033.4208984375","8033.4208984375"
"247","13830","13830","13830","5404.921875","5404.921875","5404.921875"
"248","13886","13886","13886","5608.875","5608.875","5608.875"
"249","13942","13942","13942","4635.453125","4635.453125","4635.453125"
"250","13998","13998","13998","4267.1953125","4267.1953125","4267.1953125"
"251","14054","14054","14054","6580.23828125","6580.23828125","6580.23828125"
"252","14110","14110","14110","6169.48388671875","6169.48388671875","6169.48388671875"
