"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/rewards/strip_reasoning_accuracy_reward/mean__MAX"
"21","8230","8230","8230","0.7353515625","0.7353515625","0.7353515625","8230","8230","8230","0.7099609375","0.7099609375","0.7099609375","8230","8230","8230","0.6953125","0.6953125","0.6953125","8230","8230","8230","0.701171875","0.701171875","0.701171875","8230","8230","8230","0.7060546875","0.7060546875","0.7060546875","8230","8230","8230","0.654296875","0.654296875","0.654296875"
"22","8622","8622","8622","0.7841796875","0.7841796875","0.7841796875","8622","8622","8622","0.7783203125","0.7783203125","0.7783203125","8622","8622","8622","0.732421875","0.732421875","0.732421875","8622","8622","8622","0.75","0.75","0.75","8622","8622","8622","0.775390625","0.775390625","0.775390625","8622","8622","8622","0.7431640625","0.7431640625","0.7431640625"
"23","9014","9014","9014","0.7626953125","0.7626953125","0.7626953125","9014","9014","9014","0.744140625","0.744140625","0.744140625","9014","9014","9014","0.7265625","0.7265625","0.7265625","9014","9014","9014","0.7109375","0.7109375","0.7109375","9014","9014","9014","0.7421875","0.7421875","0.7421875","9014","9014","9014","0.71875","0.71875","0.71875"
"24","9406","9406","9406","0.7255859375","0.7255859375","0.7255859375","9406","9406","9406","0.6787109375","0.6787109375","0.6787109375","9406","9406","9406","0.6806640625","0.6806640625","0.6806640625","9406","9406","9406","0.685546875","0.685546875","0.685546875","9406","9406","9406","0.7236328125","0.7236328125","0.7236328125","9406","9406","9406","0.65234375","0.65234375","0.65234375"
"25","9798","9798","9798","0.8154296875","0.8154296875","0.8154296875","9798","9798","9798","0.8037109375","0.8037109375","0.8037109375","9798","9798","9798","0.7568359375","0.7568359375","0.7568359375","9798","9798","9798","0.771484375","0.771484375","0.771484375","9798","9798","9798","0.78515625","0.78515625","0.78515625","9798","9798","9798","0.74609375","0.74609375","0.74609375"
"26","10190","10190","10190","0.6865234375","0.6865234375","0.6865234375","10190","10190","10190","0.6943359375","0.6943359375","0.6943359375","10190","10190","10190","0.634765625","0.634765625","0.634765625","10190","10190","10190","0.6591796875","0.6591796875","0.6591796875","10190","10190","10190","0.7060546875","0.7060546875","0.7060546875","10190","10190","10190","0.6318359375","0.6318359375","0.6318359375"
"27","10582","10582","10582","0.7451171875","0.7451171875","0.7451171875","10582","10582","10582","0.7412109375","0.7412109375","0.7412109375","10582","10582","10582","0.7021484375","0.7021484375","0.7021484375","10582","10582","10582","0.701171875","0.701171875","0.701171875","10582","10582","10582","0.7314453125","0.7314453125","0.7314453125","10582","10582","10582","0.6669921875","0.6669921875","0.6669921875"
"28","10974","10974","10974","0.7802734375","0.7802734375","0.7802734375","10974","10974","10974","0.7568359375","0.7568359375","0.7568359375","10974","10974","10974","0.7314453125","0.7314453125","0.7314453125","10974","10974","10974","0.73828125","0.73828125","0.73828125","10974","10974","10974","0.7353515625","0.7353515625","0.7353515625","10974","10974","10974","0.736328125","0.736328125","0.736328125"
"29","11366","11366","11366","0.802734375","0.802734375","0.802734375","11366","11366","11366","0.779296875","0.779296875","0.779296875","11366","11366","11366","0.7470703125","0.7470703125","0.7470703125","11366","11366","11366","0.771484375","0.771484375","0.771484375","11366","11366","11366","0.779296875","0.779296875","0.779296875","11366","11366","11366","0.7529296875","0.7529296875","0.7529296875"
"30","11758","11758","11758","0.7251983880996704","0.7251983880996704","0.7251983880996704","11758","11758","11758","0.6974206566810608","0.6974206566810608","0.6974206566810608","11758","11758","11758","0.6934523582458496","0.6934523582458496","0.6934523582458496","11758","11758","11758","0.670634925365448","0.670634925365448","0.670634925365448","11758","11758","11758","0.7222222089767456","0.7222222089767456","0.7222222089767456","11758","11758","11758","0.6716269850730896","0.6716269850730896","0.6716269850730896"
