run_name,step,throughput
Without drops,208,13770.805336935751
With drops,209,13951.50867793696
Without drops,209,13954.379486202008
With drops,210,13767.612354081966
Without drops,210,13940.195605640383
With drops,211,13881.264339099733
Without drops,211,13891.703067841838
With drops,212,13616.74760476574
Without drops,212,13737.843369267726
With drops,213,13511.816388904184
Without drops,213,13303.201091521249
With drops,214,13815.129840693238
Without drops,214,13984.290901513376
With drops,215,13844.283012177904
Without drops,215,14012.67717906402
With drops,216,13817.418753548884
Without drops,216,13729.177668739112
With drops,217,13727.744198558925
Without drops,217,13893.478089705
With drops,218,13878.86452897134
Without drops,218,13846.291441669431
With drops,219,13168.922626752485
Without drops,219,13920.300823394497
With drops,220,13266.04190495017
Without drops,220,13755.523349604866
With drops,221,13805.153414618466
Without drops,221,13887.892422714664
With drops,222,13943.152288842415
Without drops,222,13893.69531762189
With drops,223,13922.89551751748
Without drops,223,13827.806162408471
With drops,224,13769.539738008069
Without drops,224,13852.77446038544
With drops,225,13984.0101236973
Without drops,225,13884.607513585685
With drops,226,13906.38121366883
Without drops,226,13653.266782731798
With drops,227,13913.634264623464
Without drops,227,13844.513580029365
With drops,228,13765.347264376804
Without drops,228,13815.507570173071
With drops,229,13682.284930311138
Without drops,229,13928.291064044142
With drops,230,13872.648321111456
Without drops,230,13804.021985898042
With drops,231,13078.987523352793
Without drops,231,13833.002012966726
With drops,232,13904.572883556277
Without drops,232,13917.361338928402
With drops,233,13780.525822238951
Without drops,233,13839.368537618182
With drops,234,13313.716733407971
Without drops,234,13942.405457110952
With drops,235,13891.950195604675
Without drops,235,13987.091708147913
With drops,236,13921.218256868691
Without drops,236,13612.453496240303
With drops,237,13776.09835471398
Without drops,237,13987.068932838762
With drops,238,13878.617866554216
Without drops,238,13912.740364260668
With drops,239,13866.087003498023
Without drops,239,13798.219858664888
With drops,240,13816.61125110716
Without drops,240,14027.986386707224
With drops,241,13758.299369419825
Without drops,241,13645.740625167133
With drops,242,13873.103887567246
Without drops,242,13160.428621622284
With drops,243,13928.31364833794
Without drops,243,13981.688447413098
With drops,244,13853.474483232438
Without drops,244,13961.538986147252
With drops,245,13878.341316088226
Without drops,245,13891.815397553146
With drops,246,13879.200900943111
Without drops,246,13896.894597965764
With drops,247,13285.369421146324
Without drops,247,13742.180323095678
With drops,248,13769.473521213004
Without drops,248,13949.58287668897
With drops,249,13877.011038150493
Without drops,249,13946.66875354149
With drops,250,13806.699260797515
Without drops,250,13921.827439336674
With drops,251,13929.450485750718
Without drops,251,9191.581836554096
With drops,252,13835.059163716112
Without drops,252,13998.693975463802
With drops,253,13874.194381258443
Without drops,253,13224.49366071346
With drops,254,13902.390007898042
Without drops,254,8750.67872641849
