"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MAX"
"140","7838","7838","7838","0.8193435668945312","0.8193435668945312","0.8193435668945312"
"141","7894","7894","7894","0.6926498413085938","0.6926498413085938","0.6926498413085938"
"142","7950","7950","7950","0.875","0.875","0.875"
"143","8006","8006","8006","0.703125","0.703125","0.703125"
"144","8062","8062","8062","0.699493408203125","0.699493408203125","0.699493408203125"
"145","8118","8118","8118","0.8125","0.8125","0.8125"
"146","8174","8174","8174","0.36705780029296875","0.36705780029296875","0.36705780029296875"
"147","8230","8230","8230","0.7066574096679688","0.7066574096679688","0.7066574096679688"
"148","8286","8286","8286","0.828125","0.828125","0.828125"
"149","8342","8342","8342","0.921875","0.921875","0.921875"
"150","8398","8398","8398","0.6008071899414062","0.6008071899414062","0.6008071899414062"
"151","8454","8454","8454","0.828125","0.828125","0.828125"
"152","8510","8510","8510","0.8170547485351562","0.8170547485351562","0.8170547485351562"
"153","8566","8566","8566","0.6032943725585938","0.6032943725585938","0.6032943725585938"
"154","8622","8622","8622","0.8992767333984375","0.8992767333984375","0.8992767333984375"
"155","8678","8678","8678","0.9140625","0.9140625","0.9140625"
"156","8734","8734","8734","0.641387939453125","0.641387939453125","0.641387939453125"
"157","8790","8790","8790","0.6027984619140625","0.6027984619140625","0.6027984619140625"
"158","8846","8846","8846","0.43546295166015625","0.43546295166015625","0.43546295166015625"
"159","8902","8902","8902","0.45597076416015625","0.45597076416015625","0.45597076416015625"
"160","8958","8958","8958","0.713897705078125","0.713897705078125","0.713897705078125"
"161","9014","9014","9014","0.8359375","0.8359375","0.8359375"
"162","9070","9070","9070","0.6953125","0.6953125","0.6953125"
"163","9126","9126","9126","0.75","0.75","0.75"
"164","9182","9182","9182","0.8350448608398438","0.8350448608398438","0.8350448608398438"
"165","9238","9238","9238","0.7406692504882812","0.7406692504882812","0.7406692504882812"
"166","9294","9294","9294","0.7265625","0.7265625","0.7265625"
"167","9350","9350","9350","0.767669677734375","0.767669677734375","0.767669677734375"
"168","9406","9406","9406","0.6134033203125","0.6134033203125","0.6134033203125"
"169","9462","9462","9462","0.7578125","0.7578125","0.7578125"
"170","9518","9518","9518","0.6442337036132812","0.6442337036132812","0.6442337036132812"
"171","9574","9574","9574","0.6843643188476562","0.6843643188476562","0.6843643188476562"
"172","9630","9630","9630","0.9296875","0.9296875","0.9296875"
