Step,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX
265,14014.506117321398,14014.506117321398,14014.506117321398
266,13813.567297028263,13813.567297028263,13813.567297028263
267,13833.544090798556,13833.544090798556,13833.544090798556
268,13791.942798057018,13791.942798057018,13791.942798057018
269,13910.960417429158,13910.960417429158,13910.960417429158
270,13851.054491979012,13851.054491979012,13851.054491979012
271,13808.970581363696,13808.970581363696,13808.970581363696
272,13638.987889418035,13638.987889418035,13638.987889418035
273,13948.714552024716,13948.714552024716,13948.714552024716
274,13741.835904059177,13741.835904059177,13741.835904059177
275,13884.009064274238,13884.009064274238,13884.009064274238
276,13898.43107576941,13898.43107576941,13898.43107576941
277,13897.321779647305,13897.321779647305,13897.321779647305
278,13924.761286599381,13924.761286599381,13924.761286599381
279,13846.261682905833,13846.261682905833,13846.261682905833
280,13853.750043545297,13853.750043545297,13853.750043545297
281,13849.111664888713,13849.111664888713,13849.111664888713
282,14008.122150450661,14008.122150450661,14008.122150450661
283,13782.626364969079,13782.626364969079,13782.626364969079
284,13898.191212954052,13898.191212954052,13898.191212954052
285,13884.1511913145,13884.1511913145,13884.1511913145
286,13962.204655945794,13962.204655945794,13962.204655945794
287,13838.075443592365,13838.075443592365,13838.075443592365
288,13826.263004673172,13826.263004673172,13826.263004673172
289,13915.45998100312,13915.45998100312,13915.45998100312
290,13591.460771960767,13591.460771960767,13591.460771960767
291,773.5458331046998,773.5458331046998,773.5458331046998
292,13900.957633852353,13900.957633852353,13900.957633852353
