"Step","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MIN","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MAX"
"126","13940.79890853046","13940.79890853046","13940.79890853046"
"127","13876.398299280167","13876.398299280167","13876.398299280167"
"128","13960.782620237274","13960.782620237274","13960.782620237274"
"129","13852.968076648298","13852.968076648298","13852.968076648298"
"130","13639.283858575904","13639.283858575904","13639.283858575904"
"131","13890.639769899826","13890.639769899826","13890.639769899826"
"132","13926.92108720524","13926.92108720524","13926.92108720524"
"133","13951.50867793696","13951.50867793696","13951.50867793696"
"134","13881.032545532502","13881.032545532502","13881.032545532502"
"135","13729.623860850776","13729.623860850776","13729.623860850776"
"136","13865.557293112688","13865.557293112688","13865.557293112688"
"137","13886.036519961397","13886.036519961397","13886.036519961397"
"138","13965.995644874056","13965.995644874056","13965.995644874056"
"139","13527.413444367105","13527.413444367105","13527.413444367105"
"140","13935.340918787762","13935.340918787762","13935.340918787762"
"141","13303.118681551268","13303.118681551268","13303.118681551268"
"142","13935.672497846363","13935.672497846363","13935.672497846363"
"143","13966.517918414755","13966.517918414755","13966.517918414755"
"144","13960.888506531111","13960.888506531111","13960.888506531111"
"145","13967.608006421788","13967.608006421788","13967.608006421788"
"146","13900.882648577941","13900.882648577941","13900.882648577941"
"147","13320.784601738073","13320.784601738073","13320.784601738073"
"148","13973.91720350343","13973.91720350343","13973.91720350343"
"149","13905.188113212942","13905.188113212942","13905.188113212942"
"150","13972.59126904302","13972.59126904302","13972.59126904302"
"151","13908.580356530847","13908.580356530847","13908.580356530847"
"152","13795.110153481806","13795.110153481806","13795.110153481806"
"153","13916.932924408931","13916.932924408931","13916.932924408931"
"154","13983.478953265956","13983.478953265956","13983.478953265956"
"155","13896.385012065735","13896.385012065735","13896.385012065735"
"156","13915.242071977502","13915.242071977502","13915.242071977502"
"157","13917.940116215956","13917.940116215956","13917.940116215956"
"158","13896.752209907807","13896.752209907807","13896.752209907807"
"159","13920.646726732435","13920.646726732435","13920.646726732435"
"160","13758.556464969071","13758.556464969071","13758.556464969071"
