run_name,step,throughput
3B-nanotron-old-nn1-fwedu-,149,15366.765063211731
3B-nanotron-old-nn1-fwedu-32k,150,15581.59252464837
3B-nanotron-old-nn1-fwedu-,150,15370.697141875538
3B-nanotron-old-nn1-fwedu-,152,15253.901421281396
3B-nanotron-old-nn1-fwedu-,153,15250.137161144934
3B-nanotron-old-nn1-fwedu-32k,154,15561.268978310674
3B-nanotron-old-nn1-fwedu-,154,15360.22522302895
3B-nanotron-old-nn1-fwedu-,155,15323.46236536122
3B-nanotron-old-nn1-fwedu-,161,15308.760976560248
3B-nanotron-old-nn1-fwedu-,163,15296.266528641096
3B-nanotron-old-nn1-fwedu-,164,15319.42691472002
3B-nanotron-old-nn1-fwedu-,165,15302.270403924822
3B-nanotron-old-nn1-fwedu-32k,166,15588.058244252275
3B-nanotron-old-nn1-fwedu-,166,15367.342375307113
3B-nanotron-old-nn1-fwedu-,167,15306.005901499131
3B-nanotron-old-nn1-fwedu-32k,170,15605.568981439708
3B-nanotron-old-nn1-fwedu-,170,15325.52190192543
3B-nanotron-old-nn1-fwedu-32k,175,15545.16080104335
3B-nanotron-old-nn1-fwedu-,175,15286.97481456171
3B-nanotron-old-nn1-fwedu-32k,176,15571.593484655488
3B-nanotron-old-nn1-fwedu-,176,15303.17002859939
3B-nanotron-old-nn1-fwedu-32k,179,15603.15951309537
3B-nanotron-old-nn1-fwedu-,179,15182.11535314152
3B-nanotron-old-nn1-fwedu-,182,15290.076846126189
3B-nanotron-old-nn1-fwedu-,183,15269.92706643328
3B-nanotron-old-nn1-fwedu-,184,15303.197291604438
3B-nanotron-old-nn1-fwedu-32k,185,15605.899750860845
3B-nanotron-old-nn1-fwedu-,185,15286.14963219832
3B-nanotron-old-nn1-fwedu-32k,187,15569.0722139788
3B-nanotron-old-nn1-fwedu-,187,15237.386798421496
3B-nanotron-old-nn1-fwedu-32k,188,15601.5725051824
3B-nanotron-old-nn1-fwedu-,188,15304.669638143068
3B-nanotron-old-nn1-fwedu-,190,15253.260372828749
