"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MAX"
"21","8230","8230","8230","757.89453125","757.89453125","757.89453125","8230","8230","8230","679.623046875","679.623046875","679.623046875","8230","8230","8230","616.953125","616.953125","616.953125","8230","8230","8230","663.474609375","663.474609375","663.474609375","8230","8230","8230","813.1630859375","813.1630859375","813.1630859375","8230","8230","8230","525.375","525.375","525.375"
"22","8622","8622","8622","737.1181640625","737.1181640625","737.1181640625","8622","8622","8622","643.373046875","643.373046875","643.373046875","8622","8622","8622","590.029296875","590.029296875","590.029296875","8622","8622","8622","606.30078125","606.30078125","606.30078125","8622","8622","8622","736.880859375","736.880859375","736.880859375","8622","8622","8622","490.0126953125","490.0126953125","490.0126953125"
"23","9014","9014","9014","769.361328125","769.361328125","769.361328125","9014","9014","9014","654.1123046875","654.1123046875","654.1123046875","9014","9014","9014","603.0068359375","603.0068359375","603.0068359375","9014","9014","9014","620.1865234375","620.1865234375","620.1865234375","9014","9014","9014","713.169921875","713.169921875","713.169921875","9014","9014","9014","510.6796875","510.6796875","510.6796875"
"24","9406","9406","9406","850.1484375","850.1484375","850.1484375","9406","9406","9406","704.2822265625","704.2822265625","704.2822265625","9406","9406","9406","644.1337890625","644.1337890625","644.1337890625","9406","9406","9406","705.2685546875","705.2685546875","705.2685546875","9406","9406","9406","855.0478515625","855.0478515625","855.0478515625","9406","9406","9406","535.5361328125","535.5361328125","535.5361328125"
"25","9798","9798","9798","724.3154296875","724.3154296875","724.3154296875","9798","9798","9798","640.8798828125","640.8798828125","640.8798828125","9798","9798","9798","599.955078125","599.955078125","599.955078125","9798","9798","9798","628.943359375","628.943359375","628.943359375","9798","9798","9798","762.7763671875","762.7763671875","762.7763671875","9798","9798","9798","505.400390625","505.400390625","505.400390625"
"26","10190","10190","10190","868.48388671875","868.48388671875","868.48388671875","10190","10190","10190","692.6044921875","692.6044921875","692.6044921875","10190","10190","10190","605.5087890625","605.5087890625","605.5087890625","10190","10190","10190","667.568359375","667.568359375","667.568359375","10190","10190","10190","863.716796875","863.716796875","863.716796875","10190","10190","10190","512.9716796875","512.9716796875","512.9716796875"
"27","10582","10582","10582","817.09765625","817.09765625","817.09765625","10582","10582","10582","703.3583984375","703.3583984375","703.3583984375","10582","10582","10582","624.7177734375","624.7177734375","624.7177734375","10582","10582","10582","638.4521484375","638.4521484375","638.4521484375","10582","10582","10582","824.0751953125","824.0751953125","824.0751953125","10582","10582","10582","525.330078125","525.330078125","525.330078125"
"28","10974","10974","10974","949.310546875","949.310546875","949.310546875","10974","10974","10974","721.4921875","721.4921875","721.4921875","10974","10974","10974","622.4677734375","622.4677734375","622.4677734375","10974","10974","10974","701.5068359375","701.5068359375","701.5068359375","10974","10974","10974","802.46484375","802.46484375","802.46484375","10974","10974","10974","522.580078125","522.580078125","522.580078125"
"29","11366","11366","11366","896.118408203125","896.118408203125","896.118408203125","11366","11366","11366","723.2216796875","723.2216796875","723.2216796875","11366","11366","11366","653.7236328125","653.7236328125","653.7236328125","11366","11366","11366","668.9892578125","668.9892578125","668.9892578125","11366","11366","11366","817.259765625","817.259765625","817.259765625","11366","11366","11366","527.1630859375","527.1630859375","527.1630859375"
"30","11758","11758","11758","1103.8310546875","1103.8310546875","1103.8310546875","11758","11758","11758","842.2529296875","842.2529296875","842.2529296875","11758","11758","11758","648.0810546875","648.0810546875","648.0810546875","11758","11758","11758","687.5029296875","687.5029296875","687.5029296875","11758","11758","11758","1009.1748046875","1009.1748046875","1009.1748046875","11758","11758","11758","558.03515625","558.03515625","558.03515625"
"31","12150","12150","12150","938.1849365234375","938.1849365234375","938.1849365234375","12150","12150","12150","662.5400390625","662.5400390625","662.5400390625","12150","12150","12150","599.3642578125","599.3642578125","599.3642578125","12150","12150","12150","609.7822265625","609.7822265625","609.7822265625","12150","12150","12150","758.572265625","758.572265625","758.572265625","12150","12150","12150","495.0126953125","495.0126953125","495.0126953125"
"32","12542","12542","12542","927.277587890625","927.277587890625","927.277587890625","12542","12542","12542","689.8125","689.8125","689.8125","12542","12542","12542","622.4169921875","622.4169921875","622.4169921875","12542","12542","12542","663.3076171875","663.3076171875","663.3076171875","12542","12542","12542","813.4033203125","813.4033203125","813.4033203125","12542","12542","12542","505.8291015625","505.8291015625","505.8291015625"
