"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MAX"
"455","178358","178358","178358","1315.9482421875","1315.9482421875","1315.9482421875","178358","178358","178358","1111.9091796875","1111.9091796875","1111.9091796875","178358","178358","178358","761.5458984375","761.5458984375","761.5458984375","178358","178358","178358","861.2783203125","861.2783203125","861.2783203125","178358","178358","178358","1075.0615234375","1075.0615234375","1075.0615234375","178358","178358","178358","567.5673828125","567.5673828125","567.5673828125"
"456","178750","178750","178750","1346.7470703125","1346.7470703125","1346.7470703125","178750","178750","178750","1117.439453125","1117.439453125","1117.439453125","178750","178750","178750","790.3701171875","790.3701171875","790.3701171875","178750","178750","178750","880.875","880.875","880.875","178750","178750","178750","1094.80078125","1094.80078125","1094.80078125","178750","178750","178750","602.2373046875","602.2373046875","602.2373046875"
"457","179142","179142","179142","1315.12109375","1315.12109375","1315.12109375","179142","179142","179142","1066.2626953125","1066.2626953125","1066.2626953125","179142","179142","179142","773.0986328125","773.0986328125","773.0986328125","179142","179142","179142","851.9140625","851.9140625","851.9140625","179142","179142","179142","1001.4213256835938","1001.4213256835938","1001.4213256835938","179142","179142","179142","569.615234375","569.615234375","569.615234375"
"458","179534","179534","179534","1356.1708984375","1356.1708984375","1356.1708984375","179534","179534","179534","1102.078125","1102.078125","1102.078125","179534","179534","179534","796.7578125","796.7578125","796.7578125","179534","179534","179534","888.435546875","888.435546875","888.435546875","179534","179534","179534","1114.7734375","1114.7734375","1114.7734375","179534","179534","179534","580.98828125","580.98828125","580.98828125"
"459","179926","179926","179926","1190.69140625","1190.69140625","1190.69140625","179926","179926","179926","1015.8935546875","1015.8935546875","1015.8935546875","179926","179926","179926","718.0478515625","718.0478515625","718.0478515625","179926","179926","179926","806.626953125","806.626953125","806.626953125","179926","179926","179926","982.78125","982.78125","982.78125","179926","179926","179926","538.8896484375","538.8896484375","538.8896484375"
"460","180318","180318","180318","1252.4990234375","1252.4990234375","1252.4990234375","180318","180318","180318","1047.23046875","1047.23046875","1047.23046875","180318","180318","180318","737.732421875","737.732421875","737.732421875","180318","180318","180318","838.9072265625","838.9072265625","838.9072265625","180318","180318","180318","1064.4072265625","1064.4072265625","1064.4072265625","180318","180318","180318","543.2744140625","543.2744140625","543.2744140625"
"461","180710","180710","180710","1308.5830078125","1308.5830078125","1308.5830078125","180710","180710","180710","1065.470703125","1065.470703125","1065.470703125","180710","180710","180710","754.5869140625","754.5869140625","754.5869140625","180710","180710","180710","828.08984375","828.08984375","828.08984375","180710","180710","180710","1110.591796875","1110.591796875","1110.591796875","180710","180710","180710","548.3408203125","548.3408203125","548.3408203125"
"462","181102","181102","181102","1276.033203125","1276.033203125","1276.033203125","181102","181102","181102","1070.994140625","1070.994140625","1070.994140625","181102","181102","181102","812.2109375","812.2109375","812.2109375","181102","181102","181102","883.5751953125","883.5751953125","883.5751953125","181102","181102","181102","1083.080078125","1083.080078125","1083.080078125","181102","181102","181102","572.6201171875","572.6201171875","572.6201171875"
"463","181494","181494","181494","1208.9599609375","1208.9599609375","1208.9599609375","181494","181494","181494","1019.986328125","1019.986328125","1019.986328125","181494","181494","181494","745.958984375","745.958984375","745.958984375","181494","181494","181494","834.908203125","834.908203125","834.908203125","181494","181494","181494","1055.466796875","1055.466796875","1055.466796875","181494","181494","181494","550.0908203125","550.0908203125","550.0908203125"
"464","181886","181886","181886","1180.26953125","1180.26953125","1180.26953125","181886","181886","181886","956.4912109375","956.4912109375","956.4912109375","181886","181886","181886","731.744140625","731.744140625","731.744140625","181886","181886","181886","799.4794921875","799.4794921875","799.4794921875","181886","181886","181886","1010.65625","1010.65625","1010.65625","181886","181886","181886","535.8671875","535.8671875","535.8671875"
"465","182278","182278","182278","1271.58203125","1271.58203125","1271.58203125","182278","182278","182278","1055.44140625","1055.44140625","1055.44140625","182278","182278","182278","789.5126953125","789.5126953125","789.5126953125","182278","182278","182278","868.87109375","868.87109375","868.87109375","182278","182278","182278","1122.1201171875","1122.1201171875","1122.1201171875","182278","182278","182278","568.953125","568.953125","568.953125"
"466","182670","182670","182670","1221.724609375","1221.724609375","1221.724609375","182670","182670","182670","998.865234375","998.865234375","998.865234375","182670","182670","182670","755.2978515625","755.2978515625","755.2978515625","182670","182670","182670","832.001953125","832.001953125","832.001953125","182670","182670","182670","1040.373046875","1040.373046875","1040.373046875","182670","182670","182670","536.150390625","536.150390625","536.150390625"
"467","183062","183062","183062","1342.15234375","1342.15234375","1342.15234375","183062","183062","183062","1103.3720703125","1103.3720703125","1103.3720703125","183062","183062","183062","813.65234375","813.65234375","813.65234375","183062","183062","183062","885.8271484375","885.8271484375","885.8271484375","183062","183062","183062","1192.7216796875","1192.7216796875","1192.7216796875","183062","183062","183062","585.23046875","585.23046875","585.23046875"
"468","183454","183454","183454","1297.6962890625","1297.6962890625","1297.6962890625","183454","183454","183454","1073.4423828125","1073.4423828125","1073.4423828125","183454","183454","183454","785.52734375","785.52734375","785.52734375","183454","183454","183454","868.15625","868.15625","868.15625","183454","183454","183454","1133.7177734375","1133.7177734375","1133.7177734375","183454","183454","183454","569.412109375","569.412109375","569.412109375"
"469","183846","183846","183846","1138.8447265625","1138.8447265625","1138.8447265625","183846","183846","183846","941.0859375","941.0859375","941.0859375","183846","183846","183846","705.2802734375","705.2802734375","705.2802734375","183846","183846","183846","770.8935546875","770.8935546875","770.8935546875","183846","183846","183846","1029.826171875","1029.826171875","1029.826171875","183846","183846","183846","517.232421875","517.232421875","517.232421875"
"470","184238","184238","184238","1280.83203125","1280.83203125","1280.83203125","184238","184238","184238","1027.40234375","1027.40234375","1027.40234375","184238","184238","184238","757.3720703125","757.3720703125","757.3720703125","184238","184238","184238","848.494140625","848.494140625","848.494140625","184238","184238","184238","1166.9423828125","1166.9423828125","1166.9423828125","184238","184238","184238","549.4130859375","549.4130859375","549.4130859375"
"471","184630","184630","184630","1314.65234375","1314.65234375","1314.65234375","184630","184630","184630","1027.1962890625","1027.1962890625","1027.1962890625","184630","184630","184630","771.248046875","771.248046875","771.248046875","184630","184630","184630","840.2001953125","840.2001953125","840.2001953125","184630","184630","184630","1165.6416015625","1165.6416015625","1165.6416015625","184630","184630","184630","552.806640625","552.806640625","552.806640625"
"472","185022","185022","185022","1345.2265625","1345.2265625","1345.2265625","185022","185022","185022","1064.7314453125","1064.7314453125","1064.7314453125","185022","185022","185022","794.8818359375","794.8818359375","794.8818359375","185022","185022","185022","880.431640625","880.431640625","880.431640625","185022","185022","185022","1215.5048828125","1215.5048828125","1215.5048828125","185022","185022","185022","580.130859375","580.130859375","580.130859375"
"473","185414","185414","185414","1285.5439453125","1285.5439453125","1285.5439453125","185414","185414","185414","1020.701171875","1020.701171875","1020.701171875","185414","185414","185414","786.2919921875","786.2919921875","786.2919921875","185414","185414","185414","868.8671875","868.8671875","868.8671875","185414","185414","185414","1146.6748046875","1146.6748046875","1146.6748046875","185414","185414","185414","571.3662109375","571.3662109375","571.3662109375"
"474","185806","185806","185806","1172.091796875","1172.091796875","1172.091796875","185806","185806","185806","991.8115234375","991.8115234375","991.8115234375","185806","185806","185806","745.0185546875","745.0185546875","745.0185546875","185806","185806","185806","842.8955078125","842.8955078125","842.8955078125","185806","185806","185806","1111.607421875","1111.607421875","1111.607421875","185806","185806","185806","543.09375","543.09375","543.09375"
"475","186198","186198","186198","1196.416015625","1196.416015625","1196.416015625","186198","186198","186198","994.2666015625","994.2666015625","994.2666015625","186198","186198","186198","751.1708984375","751.1708984375","751.1708984375","186198","186198","186198","826.5771484375","826.5771484375","826.5771484375","186198","186198","186198","1075.96875","1075.96875","1075.96875","186198","186198","186198","544.337890625","544.337890625","544.337890625"
"476","186590","186590","186590","1224.98828125","1224.98828125","1224.98828125","186590","186590","186590","1019.150390625","1019.150390625","1019.150390625","186590","186590","186590","783.4482421875","783.4482421875","783.4482421875","186590","186590","186590","854.955078125","854.955078125","854.955078125","186590","186590","186590","1102.1474609375","1102.1474609375","1102.1474609375","186590","186590","186590","564.71875","564.71875","564.71875"
"477","186982","186982","186982","1158.6044921875","1158.6044921875","1158.6044921875","186982","186982","186982","979.1669921875","979.1669921875","979.1669921875","186982","186982","186982","758.3974609375","758.3974609375","758.3974609375","186982","186982","186982","830.9541015625","830.9541015625","830.9541015625","186982","186982","186982","1063.2861328125","1063.2861328125","1063.2861328125","186982","186982","186982","546.8330078125","546.8330078125","546.8330078125"
"478","187374","187374","187374","1136.248046875","1136.248046875","1136.248046875","187374","187374","187374","923.2724609375","923.2724609375","923.2724609375","187374","187374","187374","715.875","715.875","715.875","187374","187374","187374","788.5830078125","788.5830078125","788.5830078125","187374","187374","187374","1009.9755859375","1009.9755859375","1009.9755859375","187374","187374","187374","526.076171875","526.076171875","526.076171875"
"479","187766","187766","187766","1146.7587890625","1146.7587890625","1146.7587890625","187766","187766","187766","1006.259765625","1006.259765625","1006.259765625","187766","187766","187766","757.765625","757.765625","757.765625","187766","187766","187766","861.6689453125","861.6689453125","861.6689453125","187766","187766","187766","1070.5693359375","1070.5693359375","1070.5693359375","187766","187766","187766","569.2216796875","569.2216796875","569.2216796875"
"480","188158","188158","188158","1189.3251953125","1189.3251953125","1189.3251953125","188158","188158","188158","941.263671875","941.263671875","941.263671875","188158","188158","188158","719.361328125","719.361328125","719.361328125","188158","188158","188158","794.7158203125","794.7158203125","794.7158203125","188158","188158","188158","1073.0888671875","1073.0888671875","1073.0888671875","188158","188158","188158","516.015625","516.015625","516.015625"
"481","188550","188550","188550","1352.275390625","1352.275390625","1352.275390625","188550","188550","188550","1047.2822265625","1047.2822265625","1047.2822265625","188550","188550","188550","809.3212890625","809.3212890625","809.3212890625","188550","188550","188550","884.0859375","884.0859375","884.0859375","188550","188550","188550","1244.0615234375","1244.0615234375","1244.0615234375","188550","188550","188550","585.62109375","585.62109375","585.62109375"
"482","188942","188942","188942","1167.6796875","1167.6796875","1167.6796875","188942","188942","188942","977.77734375","977.77734375","977.77734375","188942","188942","188942","767.115234375","767.115234375","767.115234375","188942","188942","188942","857.5009765625","857.5009765625","857.5009765625","188942","188942","188942","1044.130859375","1044.130859375","1044.130859375","188942","188942","188942","565.32421875","565.32421875","565.32421875"
"483","189334","189334","189334","1293.185546875","1293.185546875","1293.185546875","189334","189334","189334","1020.6070556640625","1020.6070556640625","1020.6070556640625","189334","189334","189334","784.4189453125","784.4189453125","784.4189453125","189334","189334","189334","852.7021484375","852.7021484375","852.7021484375","189334","189334","189334","1188.2744140625","1188.2744140625","1188.2744140625","189334","189334","189334","558.716796875","558.716796875","558.716796875"
"484","189726","189726","189726","1164.857421875","1164.857421875","1164.857421875","189726","189726","189726","958.712890625","958.712890625","958.712890625","189726","189726","189726","732.6376953125","732.6376953125","732.6376953125","189726","189726","189726","826.2431640625","826.2431640625","826.2431640625","189726","189726","189726","1067.5634765625","1067.5634765625","1067.5634765625","189726","189726","189726","534.0244140625","534.0244140625","534.0244140625"
"485","190118","190118","190118","1211.3154296875","1211.3154296875","1211.3154296875","190118","190118","190118","986.0908203125","986.0908203125","986.0908203125","190118","190118","190118","735.7822265625","735.7822265625","735.7822265625","190118","190118","190118","843.435546875","843.435546875","843.435546875","190118","190118","190118","1131.3466796875","1131.3466796875","1131.3466796875","190118","190118","190118","537.7099609375","537.7099609375","537.7099609375"
"486","","","","","","","190510","190510","190510","996.1240234375","996.1240234375","996.1240234375","190510","190510","190510","763.951171875","763.951171875","763.951171875","190510","190510","190510","851.6064453125","851.6064453125","851.6064453125","190510","190510","190510","1106.8291015625","1106.8291015625","1106.8291015625","190510","190510","190510","564.9267578125","564.9267578125","564.9267578125"
"487","","","","","","","190902","190902","190902","973.39453125","973.39453125","973.39453125","190902","190902","190902","740.572265625","740.572265625","740.572265625","190902","190902","190902","827.861328125","827.861328125","827.861328125","190902","190902","190902","1076.9208984375","1076.9208984375","1076.9208984375","190902","190902","190902","547.7705078125","547.7705078125","547.7705078125"
"488","","","","","","","191294","191294","191294","1020.2265625","1020.2265625","1020.2265625","191294","191294","191294","769.4912109375","769.4912109375","769.4912109375","191294","191294","191294","891.7177734375","891.7177734375","891.7177734375","191294","191294","191294","1152.6337890625","1152.6337890625","1152.6337890625","191294","191294","191294","576.611328125","576.611328125","576.611328125"
"489","","","","","","","191686","191686","191686","998.498046875","998.498046875","998.498046875","191686","191686","191686","767.2197265625","767.2197265625","767.2197265625","191686","191686","191686","872.3037109375","872.3037109375","872.3037109375","191686","191686","191686","1130.8623046875","1130.8623046875","1130.8623046875","191686","191686","191686","576.0126953125","576.0126953125","576.0126953125"
"490","","","","","","","192078","192078","192078","939.140625","939.140625","939.140625","192078","192078","192078","724.8173828125","724.8173828125","724.8173828125","192078","192078","192078","803.4208984375","803.4208984375","803.4208984375","192078","192078","192078","1016.90625","1016.90625","1016.90625","192078","192078","192078","535.5478515625","535.5478515625","535.5478515625"
"491","","","","","","","192470","192470","192470","997.7919921875","997.7919921875","997.7919921875","192470","192470","192470","744.369140625","744.369140625","744.369140625","192470","192470","192470","875.0869140625","875.0869140625","875.0869140625","192470","192470","192470","1074.2998046875","1074.2998046875","1074.2998046875","192470","192470","192470","556.7265625","556.7265625","556.7265625"
"492","","","","","","","192862","192862","192862","981.9482421875","981.9482421875","981.9482421875","192862","192862","192862","761.125","761.125","761.125","192862","192862","192862","871.0517578125","871.0517578125","871.0517578125","192862","192862","192862","1115.109375","1115.109375","1115.109375","192862","192862","192862","552.052734375","552.052734375","552.052734375"
"493","","","","","","","193254","193254","193254","989.3447265625","989.3447265625","989.3447265625","193254","193254","193254","736.037109375","736.037109375","736.037109375","193254","193254","193254","865.48828125","865.48828125","865.48828125","193254","193254","193254","1083.3369140625","1083.3369140625","1083.3369140625","193254","193254","193254","553.3583984375","553.3583984375","553.3583984375"
"494","","","","","","","193646","193646","193646","994.79296875","994.79296875","994.79296875","193646","193646","193646","765.3251953125","765.3251953125","765.3251953125","193646","193646","193646","902.5791015625","902.5791015625","902.5791015625","193646","193646","193646","1104.4453125","1104.4453125","1104.4453125","193646","193646","193646","566.9248046875","566.9248046875","566.9248046875"
"495","","","","","","","194038","194038","194038","965.880859375","965.880859375","965.880859375","194038","194038","194038","751.3095703125","751.3095703125","751.3095703125","194038","194038","194038","843.4306640625","843.4306640625","843.4306640625","194038","194038","194038","1019.8779296875","1019.8779296875","1019.8779296875","194038","194038","194038","541.2626953125","541.2626953125","541.2626953125"
"496","","","","","","","194430","194430","194430","960.2939453125","960.2939453125","960.2939453125","194430","194430","194430","770.291015625","770.291015625","770.291015625","194430","194430","194430","862.982421875","862.982421875","862.982421875","194430","194430","194430","1027.9267578125","1027.9267578125","1027.9267578125","194430","194430","194430","560.587890625","560.587890625","560.587890625"
"497","","","","","","","194822","194822","194822","990.9931640625","990.9931640625","990.9931640625","194822","194822","194822","749.8525390625","749.8525390625","749.8525390625","194822","194822","194822","874.2880859375","874.2880859375","874.2880859375","194822","194822","194822","1058.86328125","1058.86328125","1058.86328125","194822","194822","194822","540.9326171875","540.9326171875","540.9326171875"
"498","","","","","","","195214","195214","195214","1009.2861328125","1009.2861328125","1009.2861328125","195214","195214","195214","766.369140625","766.369140625","766.369140625","195214","195214","195214","893.5498046875","893.5498046875","893.5498046875","195214","195214","195214","1130.86328125","1130.86328125","1130.86328125","195214","195214","195214","558.564453125","558.564453125","558.564453125"
"499","","","","","","","195606","195606","195606","1000.8396606445312","1000.8396606445312","1000.8396606445312","195606","195606","195606","779.306640625","779.306640625","779.306640625","195606","195606","195606","893.453125","893.453125","893.453125","195606","195606","195606","1098.6240234375","1098.6240234375","1098.6240234375","195606","195606","195606","567.7060546875","567.7060546875","567.7060546875"
"500","","","","","","","195998","195998","195998","976.091796875","976.091796875","976.091796875","195998","195998","195998","750.6708984375","750.6708984375","750.6708984375","195998","195998","195998","866.16796875","866.16796875","866.16796875","195998","195998","195998","1049.5751953125","1049.5751953125","1049.5751953125","195998","195998","195998","551.388671875","551.388671875","551.388671875"
"501","","","","","","","196390","196390","196390","983.20703125","983.20703125","983.20703125","196390","196390","196390","718.16015625","718.16015625","718.16015625","196390","196390","196390","849.9794921875","849.9794921875","849.9794921875","196390","196390","196390","1066.8729248046875","1066.8729248046875","1066.8729248046875","196390","196390","196390","533.2275390625","533.2275390625","533.2275390625"
"502","","","","","","","196782","196782","196782","986.2470703125","986.2470703125","986.2470703125","196782","196782","196782","793.8212890625","793.8212890625","793.8212890625","196782","196782","196782","887.0302734375","887.0302734375","887.0302734375","196782","196782","196782","1093.4423828125","1093.4423828125","1093.4423828125","196782","196782","196782","561.830078125","561.830078125","561.830078125"
"503","","","","","","","197174","197174","197174","999.3955078125","999.3955078125","999.3955078125","197174","197174","197174","762.9892578125","762.9892578125","762.9892578125","197174","197174","197174","877.7607421875","877.7607421875","877.7607421875","197174","197174","197174","1048.70703125","1048.70703125","1048.70703125","197174","197174","197174","552.2958984375","552.2958984375","552.2958984375"
"504","","","","","","","197566","197566","197566","964.0908203125","964.0908203125","964.0908203125","197566","197566","197566","763.740234375","763.740234375","763.740234375","197566","197566","197566","854.2060546875","854.2060546875","854.2060546875","197566","197566","197566","1002.06640625","1002.06640625","1002.06640625","197566","197566","197566","551.896484375","551.896484375","551.896484375"
"505","","","","","","","197958","197958","197958","991.134765625","991.134765625","991.134765625","197958","197958","197958","772.16015625","772.16015625","772.16015625","197958","197958","197958","886.7724609375","886.7724609375","886.7724609375","197958","197958","197958","1053.892578125","1053.892578125","1053.892578125","197958","197958","197958","558.5810546875","558.5810546875","558.5810546875"
"506","","","","","","","198350","198350","198350","956.6357421875","956.6357421875","956.6357421875","198350","198350","198350","731.98046875","731.98046875","731.98046875","198350","198350","198350","850.466796875","850.466796875","850.466796875","198350","198350","198350","990.345703125","990.345703125","990.345703125","198350","198350","198350","541.5205078125","541.5205078125","541.5205078125"
"507","","","","","","","198742","198742","198742","950.0078125","950.0078125","950.0078125","198742","198742","198742","739.1181640625","739.1181640625","739.1181640625","198742","198742","198742","843.833984375","843.833984375","843.833984375","198742","198742","198742","973.4638671875","973.4638671875","973.4638671875","198742","198742","198742","534.16015625","534.16015625","534.16015625"
"508","","","","","","","199134","199134","199134","904.5029296875","904.5029296875","904.5029296875","199134","199134","199134","710.2646484375","710.2646484375","710.2646484375","199134","199134","199134","828.76171875","828.76171875","828.76171875","199134","199134","199134","907.3076171875","907.3076171875","907.3076171875","199134","199134","199134","519.2412109375","519.2412109375","519.2412109375"
"509","","","","","","","199526","199526","199526","1003.6943359375","1003.6943359375","1003.6943359375","199526","199526","199526","776.5771484375","776.5771484375","776.5771484375","199526","199526","199526","900.298828125","900.298828125","900.298828125","199526","199526","199526","1062.7021484375","1062.7021484375","1062.7021484375","199526","199526","199526","557.1123046875","557.1123046875","557.1123046875"
"510","","","","","","","199918","199918","199918","969.2470703125","969.2470703125","969.2470703125","199918","199918","199918","744.2734375","744.2734375","744.2734375","199918","199918","199918","873.2822265625","873.2822265625","873.2822265625","199918","199918","199918","999.921875","999.921875","999.921875","199918","199918","199918","545.3525390625","545.3525390625","545.3525390625"
"511","","","","","","","200310","200310","200310","989.9755859375","989.9755859375","989.9755859375","200310","200310","200310","742.73046875","742.73046875","742.73046875","200310","200310","200310","882.1565551757812","882.1565551757812","882.1565551757812","200310","200310","200310","1022.6725463867188","1022.6725463867188","1022.6725463867188","200310","200310","200310","540.0068359375","540.0068359375","540.0068359375"
"512","","","","","","","200702","200702","200702","993.3291015625","993.3291015625","993.3291015625","200702","200702","200702","766.4208984375","766.4208984375","766.4208984375","200702","200702","200702","880.21875","880.21875","880.21875","200702","200702","200702","1022.38671875","1022.38671875","1022.38671875","200702","200702","200702","563.2861328125","563.2861328125","563.2861328125"
"513","","","","","","","201094","201094","201094","998.5322265625","998.5322265625","998.5322265625","201094","201094","201094","765.2529296875","765.2529296875","765.2529296875","201094","201094","201094","878.10546875","878.10546875","878.10546875","201094","201094","201094","1035.7470703125","1035.7470703125","1035.7470703125","201094","201094","201094","556.9853515625","556.9853515625","556.9853515625"
"514","","","","","","","201486","201486","201486","1025.3837890625","1025.3837890625","1025.3837890625","201486","201486","201486","783.4326171875","783.4326171875","783.4326171875","201486","201486","201486","917.6201171875","917.6201171875","917.6201171875","201486","201486","201486","1104.3603515625","1104.3603515625","1104.3603515625","201486","201486","201486","561.0126953125","561.0126953125","561.0126953125"
"515","","","","","","","201878","201878","201878","960.7568359375","960.7568359375","960.7568359375","201878","201878","201878","745.55078125","745.55078125","745.55078125","201878","201878","201878","859.8662109375","859.8662109375","859.8662109375","201878","201878","201878","985.01171875","985.01171875","985.01171875","201878","201878","201878","539.640625","539.640625","539.640625"
"516","","","","","","","202270","202270","202270","958.7646484375","958.7646484375","958.7646484375","202270","202270","202270","734.3623046875","734.3623046875","734.3623046875","202270","202270","202270","861.5107421875","861.5107421875","861.5107421875","202270","202270","202270","976.4375","976.4375","976.4375","202270","202270","202270","542.6591796875","542.6591796875","542.6591796875"
"517","","","","","","","202662","202662","202662","1020.216796875","1020.216796875","1020.216796875","202662","202662","202662","794.8466796875","794.8466796875","794.8466796875","202662","202662","202662","901.4970703125","901.4970703125","901.4970703125","202662","202662","202662","1031.783203125","1031.783203125","1031.783203125","202662","202662","202662","549.4775390625","549.4775390625","549.4775390625"
"518","","","","","","","203054","203054","203054","925.51171875","925.51171875","925.51171875","203054","203054","203054","724.4951171875","724.4951171875","724.4951171875","203054","203054","203054","822.3916015625","822.3916015625","822.3916015625","","","","","","","203054","203054","203054","514.962890625","514.962890625","514.962890625"
"519","","","","","","","203446","203446","203446","1011.271484375","1011.271484375","1011.271484375","203446","203446","203446","799.9052734375","799.9052734375","799.9052734375","203446","203446","203446","895.9833984375","895.9833984375","895.9833984375","","","","","","","203446","203446","203446","560.3818359375","560.3818359375","560.3818359375"
"520","","","","","","","203838","203838","203838","935.4765625","935.4765625","935.4765625","203838","203838","203838","728.7353515625","728.7353515625","728.7353515625","203838","203838","203838","815.6513671875","815.6513671875","815.6513671875","","","","","","","203838","203838","203838","507.6953125","507.6953125","507.6953125"
"521","","","","","","","204230","204230","204230","922.0341796875","922.0341796875","922.0341796875","204230","204230","204230","720.8251953125","720.8251953125","720.8251953125","204230","204230","204230","843.6845703125","843.6845703125","843.6845703125","","","","","","","204230","204230","204230","505.6318359375","505.6318359375","505.6318359375"
"522","","","","","","","204622","204622","204622","1029.790771484375","1029.790771484375","1029.790771484375","204622","204622","204622","790.9912109375","790.9912109375","790.9912109375","204622","204622","204622","907.2548828125","907.2548828125","907.2548828125","","","","","","","204622","204622","204622","562.025390625","562.025390625","562.025390625"
"523","","","","","","","205014","205014","205014","985.7587890625","985.7587890625","985.7587890625","205014","205014","205014","768.0791015625","768.0791015625","768.0791015625","205014","205014","205014","878.6708984375","878.6708984375","878.6708984375","","","","","","","205014","205014","205014","526.3466796875","526.3466796875","526.3466796875"
"524","","","","","","","205406","205406","205406","973.943359375","973.943359375","973.943359375","205406","205406","205406","733.34765625","733.34765625","733.34765625","205406","205406","205406","856.173828125","856.173828125","856.173828125","","","","","","","205406","205406","205406","531.0791015625","531.0791015625","531.0791015625"
"525","","","","","","","205798","205798","205798","1003.048828125","1003.048828125","1003.048828125","205798","205798","205798","788.384765625","788.384765625","788.384765625","205798","205798","205798","912.5380859375","912.5380859375","912.5380859375","","","","","","","205798","205798","205798","552.1767578125","552.1767578125","552.1767578125"
"526","","","","","","","206190","206190","206190","1011.494140625","1011.494140625","1011.494140625","206190","206190","206190","773.7001953125","773.7001953125","773.7001953125","206190","206190","206190","897.6328125","897.6328125","897.6328125","","","","","","","206190","206190","206190","566.962890625","566.962890625","566.962890625"
"527","","","","","","","206582","206582","206582","999.25390625","999.25390625","999.25390625","206582","206582","206582","776.34375","776.34375","776.34375","206582","206582","206582","877.8466796875","877.8466796875","877.8466796875","","","","","","","206582","206582","206582","555.3544921875","555.3544921875","555.3544921875"
"528","","","","","","","206974","206974","206974","992.7412109375","992.7412109375","992.7412109375","206974","206974","206974","765.0009765625","765.0009765625","765.0009765625","206974","206974","206974","870.17578125","870.17578125","870.17578125","","","","","","","206974","206974","206974","542.4501953125","542.4501953125","542.4501953125"
"529","","","","","","","207366","207366","207366","1004.869140625","1004.869140625","1004.869140625","207366","207366","207366","787.2763671875","787.2763671875","787.2763671875","207366","207366","207366","904.4287109375","904.4287109375","904.4287109375","","","","","","","207366","207366","207366","540.55078125","540.55078125","540.55078125"
"530","","","","","","","207758","207758","207758","986.3740234375","986.3740234375","986.3740234375","207758","207758","207758","749.3330078125","749.3330078125","749.3330078125","207758","207758","207758","857.310546875","857.310546875","857.310546875","","","","","","","207758","207758","207758","535.1640625","535.1640625","535.1640625"
"531","","","","","","","208150","208150","208150","1042.7314453125","1042.7314453125","1042.7314453125","208150","208150","208150","826.6875","826.6875","826.6875","208150","208150","208150","930.966796875","930.966796875","930.966796875","","","","","","","208150","208150","208150","558.1337890625","558.1337890625","558.1337890625"
