run_name,steps,learning_rate
Multi-Step,476,4.76e-05
Multi-Step,477,4.77e-05
Multi-Step,478,4.78e-05
Multi-Step,479,4.79e-05
Multi-Step,480,4.8e-05
Multi-Step,481,4.8100000000000004e-05
Multi-Step,482,4.82e-05
Multi-Step,483,4.83e-05
Multi-Step,484,4.8400000000000004e-05
Multi-Step,485,4.85e-05
Multi-Step,486,4.86e-05
Multi-Step,487,4.87e-05
Multi-Step,488,4.88e-05
Multi-Step,489,4.89e-05
Multi-Step,490,4.9e-05
Multi-Step,491,4.91e-05
Multi-Step,492,4.92e-05
Multi-Step,493,4.93e-05
Multi-Step,494,4.94e-05
Multi-Step,495,4.9500000000000004e-05
Multi-Step,496,4.96e-05
Multi-Step,497,4.97e-05
Multi-Step,498,4.9800000000000004e-05
Multi-Step,499,4.99e-05
Multi-Step,500,5e-05
Multi-Step,501,5.0100000000000005e-05
Multi-Step,502,5.02e-05
Multi-Step,503,5.03e-05
Multi-Step,504,5.0400000000000005e-05
Multi-Step,505,5.05e-05
Multi-Step,506,5.0600000000000003e-05
Multi-Step,507,5.0700000000000006e-05
Multi-Step,508,5.08e-05
Multi-Step,509,5.0900000000000004e-05
Multi-Step,510,5.1000000000000006e-05
Multi-Step,511,5.11e-05
Multi-Step,512,5.1200000000000004e-05
Multi-Step,513,5.130000000000001e-05
Multi-Step,514,5.14e-05
Multi-Step,515,5.1500000000000005e-05
Multi-Step,516,5.16e-05
Multi-Step,517,5.17e-05
Multi-Step,518,5.1800000000000005e-05
Multi-Step,519,5.19e-05
Multi-Step,520,5.2000000000000004e-05
Multi-Step,521,5.2100000000000006e-05
Multi-Step,522,5.22e-05
Multi-Step,523,5.2300000000000004e-05
Multi-Step,524,5.2400000000000007e-05
Multi-Step,525,5.25e-05
Multi-Step,526,5.2600000000000005e-05
Multi-Step,527,5.270000000000001e-05
Multi-Step,528,5.28e-05
Multi-Step,529,5.2900000000000005e-05
Multi-Step,530,5.300000000000001e-05
Multi-Step,531,5.31e-05
Multi-Step,532,5.3200000000000006e-05
Multi-Step,533,5.330000000000001e-05
Multi-Step,534,5.3400000000000004e-05
Multi-Step,535,5.3500000000000006e-05
Multi-Step,536,5.360000000000001e-05
Multi-Step,537,5.3700000000000004e-05
Multi-Step,538,5.380000000000001e-05
Multi-Step,539,5.390000000000001e-05
Multi-Step,540,5.4000000000000005e-05
Multi-Step,541,5.410000000000001e-05
Multi-Step,542,5.420000000000001e-05
Multi-Step,543,5.4300000000000005e-05
Multi-Step,544,5.440000000000001e-05
Multi-Step,545,5.45e-05
Multi-Step,546,5.4600000000000006e-05
Multi-Step,547,5.470000000000001e-05
Multi-Step,548,5.4800000000000004e-05
Multi-Step,549,5.4900000000000006e-05
Multi-Step,550,5.500000000000001e-05
Multi-Step,551,5.5100000000000004e-05
Multi-Step,552,5.520000000000001e-05
Multi-Step,553,5.530000000000001e-05
Multi-Step,554,5.5400000000000005e-05
Multi-Step,555,5.550000000000001e-05
Multi-Step,556,5.560000000000001e-05
Multi-Step,557,5.5700000000000005e-05
Multi-Step,558,5.580000000000001e-05
Multi-Step,559,5.590000000000001e-05
Multi-Step,560,5.6000000000000006e-05
Multi-Step,561,5.610000000000001e-05
Multi-Step,562,5.620000000000001e-05
Multi-Step,563,5.63e-05
Multi-Step,564,5.6399999999999995e-05
Multi-Step,565,5.65e-05
Multi-Step,566,5.66e-05
Multi-Step,567,5.6699999999999996e-05
Multi-Step,568,5.68e-05
Multi-Step,569,5.69e-05
Multi-Step,570,5.6999999999999996e-05
Multi-Step,571,5.71e-05
Multi-Step,572,5.72e-05
Multi-Step,573,5.73e-05
Multi-Step,574,5.74e-05
Multi-Step,575,5.7499999999999995e-05
Multi-Step,576,5.76e-05
Multi-Step,577,5.77e-05
Multi-Step,578,5.7799999999999995e-05
Multi-Step,579,5.79e-05
Multi-Step,580,5.8e-05
Multi-Step,581,5.8099999999999996e-05
Multi-Step,582,5.82e-05
Multi-Step,583,5.83e-05
Multi-Step,584,5.8399999999999997e-05
Multi-Step,585,5.85e-05
Multi-Step,586,5.86e-05
Multi-Step,587,5.87e-05
Multi-Step,588,5.88e-05
Multi-Step,589,5.89e-05
Multi-Step,590,5.9e-05
Multi-Step,591,5.91e-05
Multi-Step,592,5.92e-05
Multi-Step,593,5.93e-05
Multi-Step,594,5.94e-05
Multi-Step,595,5.95e-05
Multi-Step,596,5.96e-05
